% Designation Loop  psi_cmd=-20.000deg  (absolute, NEUTRAL ref)
% Kp=66.4207  Kd=2.0620  K_pot=68.073520deg/V
% Vg_offset=1.339269V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.0005971000     -2708.6430147889         0.0000000000         1.3454963091         2.8120207662         9.2950410891        20.4915431494
        0.0054448000     -2700.7879431800         0.0000000000         1.3429439823         2.8120207662         5.4855980198        20.4915431494
        0.0104328000     -2152.3988315512         0.0000000000         1.1872520440         2.7967095015      -226.8904292079        19.4492514619
        0.0154492000     -1757.9165667936         0.0000000000         1.0928159503         2.7737426043      -367.8398227723        17.8858139307
        0.0204317000     -1434.6185801813         0.0000000000         1.0290077789         2.7456719523      -463.0758995050        15.9749458371
        0.0254207000      -979.2502772124         0.7999473260         0.9447809927         2.7022900355      -588.7875207921        13.0217860559
        0.0304643000      -742.8467119631         1.2788149754         0.9167053972         2.6691156285      -630.6913945545        10.7634873998
        0.0354532000      -538.8407004794         1.5985336437         0.9141530704         2.6257337117      -634.5008376238         7.8103276186
        0.0404754000      -439.6565715535         1.7259857602         0.9269147047         2.5951111822      -615.4536222773         5.7257442437
        0.0454466000      -208.8907599361         1.9967436294         0.9269147047         2.5440736330      -615.4536222773         2.2514386189
        0.0504441000       -71.4085402956         2.1858240829         0.9422286658         2.5032435937      -592.5969638614        -0.5280058810
        0.0554471000       124.7423995791         2.8681053784         0.9422286658         2.4598616769      -592.5969638614        -3.4811656622
        0.0604514000       188.3343894324         2.9389611264         0.9703042612         2.4266872699      -550.6930900990        -5.7394643183
        0.0654318000       173.8642968616         2.9229321543         1.0162461446         2.3986166179      -482.1231148515        -7.6503324120
        0.0704504000       264.7047205135         3.0234473196         1.0392170863         2.3628903334      -447.8381272277       -10.0823463494
        0.0755172000      -239.9743971168         1.9592212621         1.2331939274         2.3424753138      -158.3204539604       -11.4720685994
        0.0804444000      -565.2269183891         1.5619496864         1.3276300211         2.3501309461       -17.3710603960       -10.9509227556
        0.0854249000      -565.7155520541         1.5612601061         1.3352870017         2.3450271912        -5.9427311881       -11.2983533181
        0.0904589000      -542.6389708924         1.5933449294         1.3352870017         2.3399234363        -5.9427311881       -11.6457838806
        0.0954183000       263.9902365005         3.0226538799         1.1106822383         2.3144046617      -341.1737212871       -13.3829366930
        0.1005556000       156.7251856177         2.9038897843         1.1642811023         2.3016452744      -261.1754168317       -14.2515130992
        0.1056214000       162.6257225667         2.9104539597         1.1923566977         2.2812302547      -219.2715430693       -15.6412353492
        0.1104798000        90.9528107565         2.8297848619         1.2306416006         2.2710227449      -162.1298970297       -16.3360964742
        0.1154623000       -55.0989645058         2.2120094557         1.2893451183         2.2633671125       -74.5127064357       -16.8572423179
        0.1208046000      -270.8691169184         1.9229025620         1.3557056165         2.2659189900        24.5328133663       -16.6835270366
        0.1254279000      -215.8836156560         1.9881953283         1.3378393285         2.2659189900        -2.1332881188       -16.6835270366
        0.1305302000      -203.8566914102         2.0029410258         1.3301823480         2.2684708674       -13.5616173267       -16.5098117554
        0.1354435000      -262.5254116445         1.9326376776         1.3454963091         2.2710227449         9.2950410891       -16.3360964742
        0.1404793000      -169.2418196675         2.0466991688         1.3301823480         2.2608152351       -13.5616173267       -17.0309575991
        0.1454395000       161.1598215717         2.9088240810         1.2153276394         2.2659189900      -184.9865554456       -16.6835270366
        0.1504426000       143.4951436939         2.8891331344         1.2510602154         2.2455039703      -131.6543524753       -18.0732492866
        0.1554561000        29.3522885322         2.7578872724         1.2918974451         2.2429520929       -70.7032633663       -18.2469645678
        0.1604461000       -49.6870612219         2.2209290774         1.3250776943         2.2378483379       -21.1805034653       -18.5943951303
        0.1654623000      -201.6393734332         2.0056828700         1.3557056165         2.2506077252        24.5328133663       -17.7258187241
        0.1704424000      -147.1425058358         2.0758756929         1.3454963091         2.2455039703         9.2950410891       -18.0732492866
        0.1754460000      -100.0120761823         2.1422242859         1.3301823480         2.2455039703       -13.5616173267       -18.0732492866
        0.1804357000      -193.7843018243         2.0154586888         1.3531532897         2.2506077252        20.7233702970       -17.7258187241
        0.1854487000        64.4557939398         2.7992328418         1.2842404646         2.2404002154       -82.1315925743       -18.4206798491
        0.1904233000        59.7953076378         2.7938048559         1.2970020988         2.2327445830       -63.0843772277       -18.9418256928
        0.1954388000        -3.5338988984         2.4674437648         1.3250776943         2.2276408281       -21.1805034653       -19.2892562553
        0.2004189000       -50.6643285519         2.2193096109         1.3403916554         2.2276408281         1.6761549505       -19.2892562553
        0.2054560000       -62.2026191328         2.2004785846         1.3403916554         2.2301927056         1.6761549505       -19.1155409741
        0.2104187000       -96.8174908754         2.1469570493         1.3403916554         2.2378483379         1.6761549505       -18.5943951303
        0.2154475000        35.2528254811         2.7649154044         1.3199730405         2.2225370732       -28.7993896040       -19.6366868178
        0.2204430000       -53.8589138589         2.2140428092         1.3301823480         2.2352964605       -13.5616173267       -18.7681104116
        0.2255611000       -82.0846149875         2.1692201171         1.3506009628         2.2276408281        16.9139272277       -19.2892562553
        0.2304552000        38.9360444531         2.7692855751         1.3225253674         2.2199851957       -24.9899465346       -19.8104020990
        0.2354662000        15.8594632913         2.6975487542         1.3225253674         2.2250889506       -24.9899465346       -19.4629715365
        0.2404528000       -74.2295433786         2.1813967281         1.3480486360         2.2276408281        13.1044841584       -19.2892562553
        0.2454601000       -31.2709663621         2.2521978814         1.3378393285         2.2250889506        -2.1332881188       -19.4629715365
        0.2504488000       -46.4924759149         2.2262503192         1.3352870017         2.2301927056        -5.9427311881       -19.1155409741
        0.2554589000         8.0043916824         2.6043472169         1.3250776943         2.2250889506       -21.1805034653       -19.4629715365
        0.2604427000        74.0395498607         2.8103417046         1.3148683868         2.2174333183       -36.4182757426       -19.9841173803
        0.2654542000       -66.3744717697         2.1937979238         1.3454963091         2.2276408281         9.2950410891       -19.2892562553
        0.2704356000       -46.9811095799         2.2254336677         1.3429439823         2.2250889506         5.4855980198       -19.4629715365
        0.2754388000       -54.3475475238         2.2132408446         1.3378393285         2.2301927056        -2.1332881188       -19.1155409741
        0.2804541000        15.3708296264         2.6917510466         1.3301823480         2.2199851957       -13.5616173267       -19.8104020990
        0.2854384000        62.0126256148         2.7963894976         1.3225253674         2.2148814408       -24.9899465346       -20.1578326615
        0.2904491000       -43.2978906080         2.2316139584         1.3454963091         2.2225370732         9.2950410891       -19.6366868178
        0.2954280000       -66.3744717697         2.1937979238         1.3454963091         2.2276408281         9.2950410891       -19.2892562553
        0.3004446000        -4.0225325634         2.4616460572         1.3327346748         2.2225370732        -9.7521742574       -19.6366868178
        0.3054477000        46.3024823970         2.7779882372         1.3276300211         2.2148814408       -17.3710603960       -20.1578326615
        0.3105401000       -82.5732486525         2.1684698776         1.3582579434         2.2225370732        28.3422564356       -19.6366868178
        0.3156306000       -31.7596000271         2.2513492847         1.3454963091         2.2199851957         9.2950410891       -19.8104020990
        0.3205298000       -66.3744717697         2.1937979238         1.3454963091         2.2276408281         9.2950410891       -19.2892562553
        0.3257948000         0.1493200735         2.5111456797         1.3276300211         2.2250889506       -17.3710603960       -19.4629715365
        0.3304470000        23.2259012353         2.7505537128         1.3276300211         2.2199851957       -17.3710603960       -19.8104020990
        0.3354358000       -39.6146716360         2.2378514318         1.3480486360         2.2199851957        13.1044841584       -19.8104020990
        0.3404452000       -85.7678339595         2.1635854000         1.3480486360         2.2301927056        13.1044841584       -19.1155409741
        0.3454535000        30.5923391792         2.7593671126         1.3327346748         2.2148814408        -9.7521742574       -20.1578326615
        0.3504456000        35.2528254811         2.7649154044         1.3199730405         2.2225370732       -28.7993896040       -19.6366868178
        0.3554197000       -78.4013960156         2.1749022868         1.3531532897         2.2250889506        20.7233702970       -19.4629715365
        0.3604423000        22.7372675703         2.7499671598         1.3352870017         2.2148814408        -5.9427311881       -20.1578326615
        0.3654156000        -0.3393135915         2.5053479720         1.3352870017         2.2199851957        -5.9427311881       -19.8104020990
        0.3704677000        22.7372675703         2.7499671598         1.3352870017         2.2148814408        -5.9427311881       -20.1578326615
        0.3754655000        -0.3393135915         2.5053479720         1.3352870017         2.2199851957        -5.9427311881       -19.8104020990
        0.3804520000        -8.1943852004         2.4121464347         1.3378393285         2.2199851957        -2.1332881188       -19.8104020990
        0.3854362000       -86.7451012895         2.1620981944         1.3633625971         2.2199851957        35.9611425743       -19.8104020990
        0.3904462000       -55.3248148538         2.2116397830         1.3531532897         2.2199851957        20.7233702970       -19.8104020990
        0.3954296000        14.8821959614         2.6859533389         1.3378393285         2.2148814408        -2.1332881188       -20.1578326615
        0.4004377000       -16.0494568093         2.3189448974         1.3403916554         2.2199851957         1.6761549505       -19.8104020990
        0.4054415000        42.1306297600         2.7730657193         1.3327346748         2.2123295633        -9.7521742574       -20.3315479428
        0.4104357000       -58.5194001608         2.2064325629         1.3429439823         2.2276408281         5.4855980198       -19.2892562553
        0.4154412000        22.7372675703         2.7499671598         1.3352870017         2.2148814408        -5.9427311881       -20.1578326615
        0.4210053000        -8.1943852004         2.4121464347         1.3378393285         2.2199851957        -2.1332881188       -19.8104020990
        0.4254594000         7.5157580174         2.5985495093         1.3327346748         2.2199851957        -9.7521742574       -19.8104020990
        0.4304662000       -58.5194001608         2.2064325629         1.3429439823         2.2276408281         5.4855980198       -19.2892562553
        0.4354753000        22.7372675703         2.7499671598         1.3352870017         2.2148814408        -5.9427311881       -20.1578326615
        0.4404603000        -8.1943852004         2.4121464347         1.3378393285         2.2199851957        -2.1332881188       -19.8104020990
        0.4454645000        -8.1943852004         2.4121464347         1.3378393285         2.2199851957        -2.1332881188       -19.8104020990
        0.4504491000        34.2755581511         2.7637537077         1.3352870017         2.2123295633        -5.9427311881       -20.3315479428
        0.4554389000       -50.6643285519         2.2193096109         1.3403916554         2.2276408281         1.6761549505       -19.2892562553
        0.4604690000        -8.1943852004         2.4121464347         1.3378393285         2.2199851957        -2.1332881188       -19.8104020990
        0.4654480000        -8.1943852004         2.4121464347         1.3378393285         2.2199851957        -2.1332881188       -19.8104020990
        0.4704502000       -46.9811095799         2.2254336677         1.3429439823         2.2250889506         5.4855980198       -19.4629715365
        0.4754414000       -16.0494568093         2.3189448974         1.3403916554         2.2199851957         1.6761549505       -19.8104020990
        0.4804357000        30.5923391792         2.7593671126         1.3327346748         2.2148814408        -9.7521742574       -20.1578326615
        0.4854301000       -19.7326757812         2.2752429826         1.3378393285         2.2225370732        -2.1332881188       -19.6366868178
        0.4904282000       -58.5194001608         2.2064325629         1.3429439823         2.2276408281         5.4855980198       -19.2892562553
        0.4954531000        -8.1943852004         2.4121464347         1.3378393285         2.2199851957        -2.1332881188       -19.8104020990
        0.5004339000        62.0126256148         2.7963894976         1.3225253674         2.2148814408       -24.9899465346       -20.1578326615
        0.5054457000       -23.9045284182         2.2651208962         1.3429439823         2.2199851957         5.4855980198       -19.8104020990
        0.5104238000         7.5157580174         2.5985495093         1.3327346748         2.2199851957        -9.7521742574       -19.8104020990
        0.5154789000         7.0271243524         2.5927518016         1.3403916554         2.2148814408         1.6761549505       -20.1578326615
        0.5205345000       -54.8361811888         2.2124398366         1.3454963091         2.2250889506         9.2950410891       -19.4629715365
        0.5255199000       -66.3744717697         2.1937979238         1.3454963091         2.2276408281         9.2950410891       -19.2892562553
        0.5306426000        22.7372675703         2.7499671598         1.3352870017         2.2148814408        -5.9427311881       -20.1578326615
        0.5354480000        81.8946214696         2.8193962529         1.3123160600         2.2174333183       -40.2277188119       -19.9841173803
        0.5404371000       -39.6146716360         2.2378514318         1.3480486360         2.2199851957        13.1044841584       -19.8104020990
        0.5454398000       -66.3744717697         2.1937979238         1.3454963091         2.2276408281         9.2950410891       -19.2892562553
