% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=80.3690  Kd=2.3720  K_pot=68.073520deg/V
% Vg_offset=1.338631V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.0005637000      2099.3788583233         5.0000000000         1.3378393285         2.4215835150        -1.1809273515        -6.0868948808
        0.0054387000      2053.3845496117         5.0000000000         1.3429439823         2.4266872699         6.4379587871        -5.7394643183
        0.0104242000      2091.1581853755         5.0000000000         1.3480486360         2.4164797601        14.0568449257        -6.4343254433
        0.0155363000      1813.5274686181         5.0000000000         1.4067521537         2.4292391474       101.6740355198        -5.5657490371
        0.0205455000       993.7814850965         4.1311088289         1.5752057262         2.4700691867       353.0972780941        -2.7863045372
        0.0255333000       337.4956038819         3.1051925066         1.7053743959         2.5057954711       547.3788746287        -0.3542905998
        0.0305331000       -75.6380171941         2.1791970995         1.7589732599         2.5466255105       627.3771790842         2.4251539001
        0.0355227000      -162.6665909847         2.0552682884         1.7283453376         2.5823517949       581.6638622525         4.8571678375
        0.0404331000      -359.7554427518         1.8204490819         1.7130313764         2.6282855892       558.8072038367         7.9840428999
        0.0454464000      -131.3796640213         2.0973898422         1.6288045902         2.6410449765       433.0955825495         8.8526193061
        0.0504334000       262.9362388327         3.0214836208         1.4858742862         2.6614599961       219.7667706683        10.2423415560
        0.0554414000       600.5571382109         3.4357980573         1.3786765582         2.6691156285        59.7701617574        10.7634873998
        0.0604435000       517.6043510642         3.3232393056         1.3863335388         2.6793231383        71.1984909654        11.4583485248
        0.0654387000       580.8551630002         3.4082027254         1.3684672508         2.6793231383        44.5323894802        11.4583485248
        0.0704416000       372.2159093103         3.1451123909         1.4195137880         2.6844268933       120.7212508663        11.8057790872
        0.0755305000      -217.5585306531         1.9861578326         1.5624440919         2.6997381580       334.0500627475        12.8480707747
        0.0805559000      -198.6371629413         2.0094074849         1.5216068622         2.7227050552       273.0989736386        14.4115083059
        0.0855304000      -192.0468046511         2.0176347048         1.4960835936         2.7380163199       235.0045429456        15.4537999933
        0.0904283000      -194.4922766374         2.0145734809         1.4731126519         2.7533275847       200.7195553218        16.4960916808
        0.0954394000       115.2059745823         2.8573522439         1.3659149240         2.7660869720        40.7229464109        17.3646680870
        0.1004301000       533.2996392909         3.3438321832         1.2714788303         2.7507757072      -100.2264471535        16.3223763996
        0.1054345000       330.4010367324         3.0971231521         1.3327346748         2.7482238297        -8.7998134901        16.1486611183
        0.1104417000       262.2247309938         3.0206937711         1.3480486360         2.7507757072        14.0568449257        16.3223763996
        0.1154295000       247.4482495857         3.0043131063         1.3403916554         2.7584313396         2.6285157178        16.8435222433
        0.1204380000        38.8089958958         2.7691350432         1.3914381925         2.7635350945        78.8173771040        17.1909528058
        0.1255281000      -338.2158539038         1.8452775160         1.4782173056         2.7762944818       208.3384414604        18.0595292120
        0.1304319000      -162.4247421751         2.0555852158         1.4246184417         2.7788463592       128.3401370050        18.2332444932
        0.1354406000      -187.0522111885         2.0239186289         1.4118568074         2.7916057465       109.2929216584        19.1018208995
        0.1404322000       -24.4072662102         2.2642311081         1.3659149240         2.7916057465        40.7229464109        19.1018208995
        0.1454418000        93.0585273852         2.8321921673         1.3327346748         2.7916057465        -8.7998134901        19.1018208995
        0.1505248000       197.3781542301         2.9489641098         1.3072114063         2.7890538691       -46.8942441832        18.9281056182
        0.1554283000       130.8321631491         2.8749499584         1.3378393285         2.7813982367        -1.1809273515        18.4069597745
        0.1605189000       112.7605025959         2.8545874757         1.3429439823         2.7813982367         6.4379587871        18.4069597745
        0.1655297000        97.9840211879         2.8378122916         1.3352870017         2.7890538691        -4.9903704208        18.9281056182
        0.1704313000       157.9396539788         2.9052416428         1.3301823480         2.7813982367       -12.6092565594        18.4069597745
        0.1755272000       139.8679934256         2.8850769224         1.3352870017         2.7813982367        -4.9903704208        18.4069597745
        0.1804363000        75.8020241608         2.8123771591         1.3454963091         2.7865019916        10.2474018564        18.7543903370
        0.1855478000      -191.1625476624         2.0187440952         1.4169614611         2.7890538691       116.9118077970        18.9281056182
        0.1905417000       -65.4760811192         2.1952309669         1.3735719045         2.7941576240        52.1512756188        19.2755361807
        0.1954585000       -35.0734111444         2.2456221167         1.3531532897         2.8018132564        21.6757310644        19.7966820244
        0.2005455000        32.2877372655         2.7613879125         1.3301823480         2.8043651338       -12.6092565594        19.9703973057
        0.2055503000        10.1057402385         2.6292800152         1.3403916554         2.8018132564         2.6285157178        19.7966820244
        0.2104549000        28.1774007916         2.7564837942         1.3352870017         2.8018132564        -4.9903704208        19.7966820244
        0.2155246000       -17.0017505912         2.3076457968         1.3480486360         2.8018132564        14.0568449257        19.7966820244
        0.2206114000        65.1358792267         2.8000234803         1.3327346748         2.7967095015        -8.7998134901        19.4492514619
        0.2254612000        14.2160767124         2.6780497397         1.3352870017         2.8043651338        -4.9903704208        19.9703973057
        0.2304421000        56.1000489501         2.7894885099         1.3352870017         2.7967095015        -4.9903704208        19.4492514619
        0.2354452000        97.1688638591         2.8368832023         1.3276300211         2.7941576240       -16.4186996287        19.2755361807
        0.2405258000        10.1057402385         2.6292800152         1.3403916554         2.8018132564         2.6285157178        19.7966820244
        0.2454548000        -3.0404265120         2.4732988846         1.3480486360         2.7992613789        14.0568449257        19.6229667432
        0.2505259000        15.0312340412         2.6877216969         1.3429439823         2.7992613789         6.4379587871        19.6229667432
        0.2554433000        42.1387248709         2.7730752863         1.3352870017         2.7992613789        -4.9903704208        19.6229667432
        0.2604388000        24.0670643177         2.7515628679         1.3403916554         2.7992613789         2.6285157178        19.6229667432
        0.2654181000         5.1802464358         2.5708383336         1.3378393285         2.8043651338        -1.1809273515        19.9703973057
        0.2705198000       -53.9602290263         2.2138764481         1.3506009628         2.8069170113        17.8662879950        20.1441125869
        0.2754347000       -45.7395560785         2.2275106136         1.3403916554         2.8120207662         2.6285157178        20.4915431494
