% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=16.6052  Kd=0.5122  K_pot=68.073520deg/V
% Vg_offset=1.339052V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.0004999000       324.4902968732         3.0904204327         1.3378393285         2.5185548584        -1.8094854579         0.5142858064
        0.0054434000       330.2594390547         3.0969623718         1.3378393285         2.5134511035        -1.8094854579         0.1668552439
        0.0104148000       322.5391872864         3.0882117522         1.3403916554         2.5185548584         1.9999576114         0.5142858064
        0.0154900000       335.0951197322         3.1024591597         1.3352870017         2.5108992261        -5.6189285272        -0.0068600373
        0.0204318000       319.4862430379         3.0847595047         1.3557056165         2.5108992261        24.8566160272        -0.0068600373
        0.0254320000       277.6636667902         3.0378605613         1.3990951731         2.5185548584        89.6171482054         0.5142858064
        0.0304138000       246.5300999805         3.0032965328         1.4322754222         2.5236586133       139.1399081064         0.8617163689
        0.0354740000       246.6984731382         3.0034829458         1.4169614611         2.5338661232       116.2832496906         1.5565774939
        0.0404611000       235.0760021963         2.9906239072         1.4246184417         2.5389698781       127.7115788985         1.9040080564
        0.0454891000       201.2262374535         2.9532179427         1.4424847297         2.5568330203       154.3776803837         3.1200150251
        0.0505894000       213.9505430571         2.9672781741         1.4220661148         2.5593848978       123.9021358292         3.2937303063
        0.0556769000       198.4258529416         2.9501223973         1.4348277491         2.5644886527       142.9493511758         3.6411608688
        0.0604509000       184.9364589918         2.9352001893         1.4373800759         2.5746961625       146.7587942451         4.3360219938
        0.0654467000       177.3845803812         2.9268350565         1.4246184417         2.5900074273       127.7115788985         5.3783136812
        0.0704402000       154.9889134226         2.9019563399         1.4501417102         2.5925593047       165.8060095916         5.5520289625
        0.0755060000       151.2550674067         2.8977953623         1.4399324028         2.6027668146       150.5682373144         6.2468900875
        0.0804351000       137.8498600358         2.8828179128         1.4348277491         2.6180780793       142.9493511758         7.2891817749
        0.0854424000       122.4093564992         2.8654787097         1.4399324028         2.6282855892       150.5682373144         7.9840428999
        0.0905163000       116.7244008965         2.8590673852         1.4322754222         2.6384930990       139.1399081064         8.6789040249
        0.0954479000        89.6614264181         2.8283071169         1.4450370565         2.6538043638       158.1871234530         9.7211957123
        0.1004274000        87.7945034101         2.8261688622         1.4399324028         2.6589081187       150.5682373144        10.0686262748
        0.1054351000        67.6025057748         2.8028880457         1.4399324028         2.6767712609       150.5682373144        11.2846332435
        0.1104438000        66.6690442709         2.8018045455         1.4373800759         2.6793231383       146.7587942451        11.4583485248
        0.1154587000        65.7355827669         2.8007203694         1.4348277491         2.6818750158       142.9493511758        11.6320638060
        0.1204384000        60.0506271643         2.7941026747         1.4271707685         2.6920825256       131.5210219678        12.3269249310
        0.1254549000        42.7432006197         2.7737895006         1.4271707685         2.7073937904       131.5210219678        13.3692166184
        0.1304324000        37.9917065211         2.7681663279         1.4220661148         2.7150494228       123.9021358292        13.8903624622
        0.1354560000        18.7331703897         2.7316456960         1.4246184417         2.7303606875       127.7115788985        14.9326541496
        0.1404329000        10.0794571175         2.6289681623         1.4246184417         2.7380163199       127.7115788985        15.4537999933
        0.1454299000         9.1459956135         2.6178925093         1.4220661148         2.7405681974       123.9021358292        15.6275152746
        0.1504579000        19.9191916303         2.7457180060         1.4041998268         2.7431200748        97.2360343441        15.8012305558
        0.1554244000         7.4474457633         2.5977389747         1.4016475000         2.7558794621        93.4265912748        16.6698069620
        0.1604392000        -3.1573770957         2.4719112494         1.4041998268         2.7635350945        97.2360343441        17.1909528058
        0.1654211000        -4.0066520209         2.4618344821         1.3939905194         2.7711907269        81.9982620668        17.7120986495
        0.1704309000       -18.4295074746         2.2907052591         1.3939905194         2.7839501142        81.9982620668        18.5806750557
        0.1754404000        -3.8382788631         2.4638322534         1.3786765582         2.7813982367        59.1416036510        18.4069597745
        0.1804282000        13.7217074180         2.6721839780         1.3557056165         2.7813982367        24.8566160272        18.4069597745
        0.1855241000        10.8371363272         2.6379581334         1.3557056165         2.7839501142        24.8566160272        18.5806750557
        0.2052096000        -0.6169614569         2.5020536407         1.3480486360         2.7992613789        13.4282868193        19.6229667432
        0.2064862000         3.2010711378         2.5473551383         1.3506009628         2.7941576240        17.2377298886        19.2755361807
        0.2077951000        24.4949034347         2.7520758758         1.3378393285         2.7839501142        -1.8094854579        18.5806750557
        0.2092069000        23.5614419308         2.7509563523         1.3352870017         2.7865019916        -5.6189285272        18.7543903370
        0.2105511000        14.8235420796         2.6852574023         1.3429439823         2.7890538691         5.8094006807        18.9281056182
        0.2154506000        13.8900805757         2.6741817494         1.3403916554         2.7916057465         1.9999576114        19.1018208995
        0.2205049000        14.8235420796         2.6852574023         1.3429439823         2.7890538691         5.8094006807        18.9281056182
        0.2254474000        29.4147706911         2.7579618730         1.3276300211         2.7865019916       -17.0472577351        18.7543903370
        0.2304488000        25.5125515176         2.7532953576         1.3327346748         2.7865019916        -9.4283715965        18.7543903370
        0.2354313000        17.7081131704         2.7194832469         1.3429439823         2.7865019916         5.8094006807        18.7543903370
        0.2404455000        13.8900805757         2.6741817494         1.3403916554         2.7916057465         1.9999576114        19.1018208995
        0.2454369000        11.0055094849         2.6399559048         1.3403916554         2.7941576240         1.9999576114        19.2755361807
        0.2504443000         2.3517962127         2.5372783710         1.3403916554         2.8018132564         1.9999576114        19.7966820244
        0.2554305000       -15.2081900684         2.3289266465         1.3633625971         2.8018132564        36.2849452351        19.7966820244
        0.2604335000         9.9878614021         2.6278813661         1.3454963091         2.7916057465         9.6188437500        19.1018208995
        0.2654469000        25.5125515176         2.7532953576         1.3327346748         2.7865019916        -9.4283715965        18.7543903370
        0.2704538000        25.5125515176         2.7532953576         1.3327346748         2.7865019916        -9.4283715965        18.7543903370
        0.2754361000        20.6768708400         2.7474911682         1.3352870017         2.7890538691        -5.6189285272        18.9281056182
        0.2804356000        -3.5857191266         2.4668289105         1.3557056165         2.7967095015        24.8566160272        19.4492514619
        0.2854551000         6.1698288074         2.5825798686         1.3429439823         2.7967095015         5.8094006807        19.4492514619
        0.2904388000        14.9077286585         2.6862562880         1.3352870017         2.7941576240        -5.6189285272        19.2755361807
        0.2954470000         8.1209383942         2.6057300602         1.3403916554         2.7967095015         1.9999576114        19.4492514619
        0.3004272000        12.0231575677         2.6520304434         1.3352870017         2.7967095015        -5.6189285272        19.4492514619
        0.3054465000         0.4006866259         2.5141281794         1.3429439823         2.8018132564         5.8094006807        19.7966820244
        0.3104332000       -23.9460899196         2.2650472931         1.3710195777         2.8043651338        47.7132744431        19.9703973057
        0.3154344000        -3.5857191266         2.4668289105         1.3557056165         2.7967095015        24.8566160272        19.4492514619
        0.3204571000        20.6768708400         2.7474911682         1.3352870017         2.7890538691        -5.6189285272        18.9281056182
        0.3254330000        19.7434093360         2.7436323242         1.3327346748         2.7916057465        -9.4283715965        19.1018208995
        0.3304379000         6.1698288074         2.5825798686         1.3429439823         2.7967095015         5.8094006807        19.4492514619
        0.3354293000        22.6279804268         2.7498359386         1.3327346748         2.7890538691        -9.4283715965        18.9281056182
        0.3404379000        -8.3372132252         2.4104517600         1.3506009628         2.8043651338        17.2377298886        19.9703973057
        0.3454527000        19.7434093360         2.7436323242         1.3327346748         2.7916057465        -9.4283715965        19.1018208995
        0.3504632000         2.3517962127         2.5372783710         1.3403916554         2.8018132564         1.9999576114        19.7966820244
        0.3554434000         9.0543998981         2.6168057132         1.3429439823         2.7941576240         5.8094006807        19.2755361807
        0.3604208000        26.5301996004         2.7545137931         1.3276300211         2.7890538691       -17.0472577351        18.9281056182
        0.3654493000        -9.4390478869         2.3973783356         1.3633625971         2.7967095015        36.2849452351        19.4492514619
        0.3704376000        -2.5680710437         2.4789034491         1.3506009628         2.7992613789        17.2377298886        19.6229667432
        0.3754283000        25.5967380964         2.7533961942         1.3250776943         2.7916057465       -20.8567008045        19.1018208995
        0.3804512000        -4.4349940517         2.4567521432         1.3454963091         2.8043651338         9.6188437500        19.9703973057
        0.3854205000         1.3341481298         2.5252038324         1.3454963091         2.7992613789         9.6188437500        19.6229667432
        0.3904307000        11.0896960638         2.6409547905         1.3327346748         2.7992613789        -9.4283715965        19.6229667432
        0.3954437000         8.1209383942         2.6057300602         1.3403916554         2.7967095015         1.9999576114        19.4492514619
        0.4004302000        17.7922997493         2.7204821326         1.3352870017         2.7916057465        -5.6189285272        19.1018208995
        0.4054338000        -2.4838844649         2.4799023348         1.3429439823         2.8043651338         5.8094006807        19.9703973057
