% Designation Loop  psi_cmd=+5.000deg  (absolute, NEUTRAL ref)
% Kp=29.5203  Kd=1.0288  K_pot=68.073520deg/V
% Vg_offset=1.338720V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.4255194000       -12.5258950714         2.3607524565         1.3429439823         2.5874555498         6.3046282797         5.2045984000
        0.4304282000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.4355179000        10.6966591916         2.6362913523         1.3378393285         2.5797999174        -1.3142578589         4.6834525563
        0.4404232000        -4.6877199590         2.4537535145         1.3378393285         2.5874555498        -1.3142578589         5.2045984000
        0.4455221000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.4505157000         6.7775716355         2.5897908233         1.3403916554         2.5797999174         2.4951852104         4.6834525563
        0.4555186000        20.9529119588         2.7478231431         1.3378393285         2.5746961625        -1.3142578589         4.3360219938
        0.4605090000       -21.5731090111         2.2692624427         1.3454963091         2.5900074273        10.1140713490         5.3783136812
        0.4655130000       -11.3168562440         2.3750978735         1.3454963091         2.5849036724        10.1140713490         5.0308831188
        0.4704296000         9.4876203642         2.6219459353         1.3352870017         2.5823517949        -5.1237009282         4.8571678375
        0.4755177000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.4804295000       -16.4449826276         2.3142519276         1.3454963091         2.5874555498        10.1140713490         5.2045984000
        0.4855193000       -20.3640701837         2.2714200913         1.3480486360         2.5874555498        13.9235144183         5.2045984000
        0.4905085000        32.7101746273         2.7618909938         1.3301823480         2.5746961625       -12.7425870668         4.3360219938
        0.4955262000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        0.5005152000        -8.6068075152         2.4072529855         1.3403916554         2.5874555498         2.4951852104         5.2045984000
        0.5055129000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.5105113000        -6.1887298604         2.4359438194         1.3454963091         2.5823517949        10.1140713490         4.8571678375
        0.5155134000        10.6966591916         2.6362913523         1.3378393285         2.5797999174        -1.3142578589         4.6834525563
        0.5204290000         9.4876203642         2.6219459353         1.3352870017         2.5823517949        -5.1237009282         4.8571678375
        0.5255128000        17.3257954766         2.7149469933         1.3301823480         2.5823517949       -12.7425870668         4.8571678375
        0.5305105000        -2.2696423043         2.4824443484         1.3429439823         2.5823517949         6.3046282797         4.8571678375
        0.5354319000        10.6966591916         2.6362913523         1.3378393285         2.5797999174        -1.3142578589         4.6834525563
        0.5405086000        23.6629606875         2.7510781493         1.3327346748         2.5772480400        -8.9331439975         4.5097372750
        0.5455188000        -8.6068075152         2.4072529855         1.3403916554         2.5874555498         2.4951852104         5.2045984000
        0.5505094000       -16.4449826276         2.3142519276         1.3454963091         2.5874555498        10.1140713490         5.2045984000
