% Designation Loop  psi_cmd=+8.000deg  (absolute, NEUTRAL ref)
% Kp=57.6403  Kd=1.7943  K_pot=68.073520deg/V
% Vg_offset=1.337814V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.1703865000       536.1006271263         3.2794695659         1.2153276394         2.5644886527        -3.1907266896         4.3899695888
        0.1753897000       578.8512282513         3.3259251096         1.2255369469         2.5466255105        -2.9247773927         3.1739626201
        0.1803757000       513.6779615082         3.2556290739         1.2536125423         2.5440736330        -2.1934168262         3.0002473389
        0.1854001000       519.5544187104         3.2618475223         1.2663741766         2.5338661232        -1.8609802051         2.3053862139
        0.1903863000       488.5567319897         3.2292496705         1.2816881377         2.5313142457        -1.4620562597         2.1316709326
        0.1954862000       470.7499478767         3.2107186754         1.2995544257         2.5236586133        -0.9966449902         1.6105250889
        0.2004009000       409.2339038365         3.1473500924         1.3225253674         2.5236586133        -0.3982590721         1.6105250889
        0.2054027000       198.7832959014         2.9265716594         1.3786765582         2.5389698781         1.0644620609         2.6528167764
        0.2103976000      -117.8512748036         2.1432016270         1.4782173056         2.5517292654         3.6574677057         3.5213931826
        0.2154118000      -402.5294999855         1.8226576389         1.5471301308         2.5772480400         5.4526254598         5.2585459950
        0.2203865000      -367.3952611608         1.8600002396         1.5190545354         2.5874555498         4.7212648933         5.9534071200
        0.2254185000      -460.6902382176         1.7602877466         1.5165022085         2.6129743244         4.6547775691         7.6905599324
        0.2303976000      -486.5927140319         1.7320269828         1.5037405742         2.6282855892         4.3223409480         8.7328516199
        0.2353839000      -505.6600738419         1.7109449453         1.4884266131         2.6435968539         3.9234170026         9.7751433073
        0.2404099000      -471.0051644183         1.7490804275         1.4680079982         2.6487006088         3.3915184088        10.1225738698
        0.2453837000      -513.2764361421         1.7024472017         1.4501417102         2.6716675060         2.9261071392        11.6860114010
        0.2503947000      -434.9122667913         1.7880734666         1.4246184417         2.6691156285         2.2612338969        11.5122961198
        0.2555905000      -410.2703666739         1.8144133291         1.4041998268         2.6767712609         1.7293353031        12.0334419635
