% K_lin=7.278100  p_cw=[-2.838900 33.414700 -70.041400]  p_ccw=[2.963600 3.934100 -23.977500]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.1650063000         0.2058703560         2.8134771115         1.3710195777         2.4037203728         0.8640027783         1.4983450381
        0.1700072000         0.2120159520         2.8160428270         1.3735719045         2.3986166179         0.9304901026         1.5430733004
        0.1750074000         0.2181523165         2.8186068304         1.3786765582         2.4113760052         1.0634647510         1.5877343751
        0.1800163000         0.2242907223         2.8211738333         1.3863335388         2.4215835150         1.2629267237         1.6324103061
        0.1850076000         0.2303987202         2.8237302565         1.3786765582         2.4139278826         1.0634647510         1.6768649254
        0.1900165000         0.2365191433         2.8262940232         1.3812288851         2.4241353924         1.1299520752         1.7214099767
        0.1950163000         0.2426191020         2.8288513574         1.3914381925         2.4292391474         1.3959013721         1.7658060864
        0.2000069000         0.2486982855         2.8314021126         1.3863335388         2.4343429023         1.2629267237         1.8100509920
        0.2050110000         0.2547840925         2.8339577828         1.3761242314         2.4317910248         0.9969774268         1.8543441038
        0.2100169000         0.2608620082         2.8365122774         1.3888858657         2.4445504121         1.3294140479         1.8985797819
        0.2150146000         0.2669196706         2.8390603912         1.3837812120         2.4471022896         1.1964393995         1.9426680547
        0.2200184000         0.2729741796         2.8416093103         1.3914381925         2.4624135543         1.3959013721         1.9867333763
        0.2250115000         0.2790049835         2.8441503735         1.3914381925         2.4624135543         1.3959013721         2.0306261706
        0.2300186000         0.2850416664         2.8466960420         1.3863335388         2.4624135543         1.2629267237         2.0745617519
        0.2350209000         0.2910612935         2.8492366438         1.3939905194         2.4751729416         1.4623886964         2.1183732005
        0.2400198000         0.2970653399         2.8517727891         1.3965428462         2.4726210642         1.5288760206         2.1620712501
        0.2450123000         0.3030499995         2.8543028574         1.3888858657         2.4777248191         1.3294140479         2.2056282010
        0.2500185000         0.3090391042         2.8568369210         1.3863335388         2.4777248191         1.2629267237         2.2492175046
        0.2550122000         0.3150010702         2.8593616097         1.3965428462         2.4879323289         1.5288760206         2.2926092889
        0.2600185000         0.3209656277         2.8618895056         1.4016475000         2.4955879613         1.6618506690         2.3360199347
        0.2650055000         0.3268945615         2.8644043999         1.4041998268         2.5057954711         1.7283379933         2.3791713077
        0.2700177000         0.3328405189         2.8669286198         1.4041998268         2.5160029810         1.7283379933         2.4224465805
