% K_lin=2.393800  p_cw=[-0.099100 16.403300 -43.799200]  p_ccw=[-1.573900 20.596500 -38.892000]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.0000023000         0.0000006900         2.5000000000         1.3582579434         0.2907658367         0.5608205799         0.0000016517
        0.0050091000         0.0015027300         2.5000000000         1.3378393285         0.2856620818         0.0289219860         0.0035972351
        0.0100082000         0.0030024600         2.5000000000         1.3378393285         0.2831102043         0.0289219860         0.0071872887
        0.0150078000         0.0045023400         2.5000000000         1.3352870017         0.2831102043        -0.0375653382         0.0107777015
        0.0200067000         0.0060020100         2.5000000000         1.3327346748         0.2780064494        -0.1040526624         0.0143676115
        0.0250075000         0.0075022500         2.5000000000         1.3454963091         0.2907658367         0.2283839587         0.0179588861
        0.0301265000         0.0090379500         2.5000000000         1.3327346748         0.2780064494        -0.1040526624         0.0216350447
        0.0350141000         0.0105042300         2.5000000000         1.3352870017         0.2831102043        -0.0375653382         0.0251450258
        0.0400063000         0.0120018900         2.5000000000         1.3454963091         0.2907658367         0.2283839587         0.0287301243
        0.0450082000         0.0135024600         2.5000000000         1.3301823480         0.2780064494        -0.1705399866         0.0323221887
        0.0500062000         0.0150018600         2.5000000000         1.3429439823         0.2856620818         0.1618966345         0.0359114525
        0.0550089000         0.0165026700         2.5000000000         1.3378393285         0.2831102043         0.0289219860         0.0395040914
        0.0600111000         0.0180033300         2.5000000000         1.3403916554         0.2856620818         0.0954093103         0.0430963714
        0.0650095000         0.0195028500         2.5000000000         1.3659149240         0.2933177142         0.7602825525         0.0466859223
        0.0700069000         0.0210020700         2.5000000000         1.3378393285         0.2856620818         0.0289219860         0.0502747552
        0.0750089000         0.0225026700         2.5000000000         1.3429439823         0.2907658367         0.1618966345         0.0538668914
        0.0800066000         0.0240019800         2.5000000000         1.3352870017         0.2856620818        -0.0375653382         0.0574559397
        0.0850088000         0.0255026400         2.5000000000         1.3378393285         0.2856620818         0.0289219860         0.0610482196
        0.0900061000         0.0270018300         2.5000000000         1.3429439823         0.2907658367         0.1618966345         0.0646369807
        0.0950061000         0.0285018300         2.5000000000         1.3378393285         0.2856620818         0.0289219860         0.0682276807
        0.1000055000         0.0300016500         2.5000000000         1.3301823480         0.2780064494        -0.1705399866         0.0718179498
        0.1050089000         0.0315026700         2.5000000000         1.3378393285         0.2856620818         0.0289219860         0.0754110914
        0.1100059000         0.0330017700         2.5000000000         1.3378393285         0.2831102043         0.0289219860         0.0789996370
        0.1150097000         0.0345029100         2.5000000000         1.3454963091         0.2907658367         0.2283839587         0.0825930660
        0.1200057000         0.0360017100         2.5000000000         1.3378393285         0.2856620818         0.0289219860         0.0861808934
        0.1250196000         0.0375058800         2.5000000000         1.3378393285         0.2856620818         0.0289219860         0.0897815755
        0.1300107000         0.0390032100         2.5000000000         1.3429439823         0.2933177142         0.1618966345         0.0933658841
        0.1350214000         0.0405064200         2.5000000000         1.3327346748         0.2780064494        -0.1040526624         0.0969642682
        0.1400144000         0.0420043200         2.5000000000         1.3301823480         0.2780064494        -0.1705399866         0.1005499412
        0.1450188000         0.0435056400         2.5000000000         1.3378393285         0.2831102043         0.0289219860         0.1041438010
        0.1500180000         0.0450054000         2.5000000000         1.3327346748         0.2805583269        -0.1040526624         0.1077339265
        0.1550238000         0.0465071400         2.5000000000         1.3429439823         0.2907658367         0.1618966345         0.1113287917
        0.1600105000         0.0480031500         2.5000000000         1.3454963091         0.2831102043         0.2283839587         0.1149099405
        0.1651133000         0.0495339900         2.5000000000         1.3454963091         0.2907658367         0.2283839587         0.1185744653
        0.1700073000         0.0510021900         2.7223635006         1.3378393285         0.2856620818         0.0289219860         0.1220890424
        0.1750189000         0.0525056700         2.7225903725         1.3352870017         0.2856620818        -0.0375653382         0.1256880728
        0.1801538000         0.0540461400         2.7228228269         1.3276300211         0.2780064494        -0.2370273109         0.1293756499
        0.1850089000         0.0555026700         2.7230426155         1.3352870017         0.2831102043        -0.0375653382         0.1328622914
        0.1900088000         0.0570026400         2.7232689598         1.3378393285         0.2831102043         0.0289219860         0.1364529196
        0.1950098000         0.0585029400         2.7234953545         1.3429439823         0.2805583269         0.1618966345         0.1400443378
        0.2000083000         0.0600024900         2.7237216366         1.3633625971         0.2882139593         0.6937952283         0.1436339606
        0.2050138000         0.0615041400         2.7239482363         1.3557056165         0.2984214691         0.4943332556         0.1472286103
        0.2100167000         0.0630050100         2.7241747190         1.3506009628         0.2856620818         0.3613586072         0.1508213929
        0.2150138000         0.0645041400         2.7244009397         1.3531532897         0.2882139593         0.4278459314         0.1544100103
        0.2200182000         0.0660054600         2.7246274915         1.3454963091         0.2958695916         0.2283839587         0.1580038701
        0.2250158000         0.0675047400         2.7248537361         1.3506009628         0.2907658367         0.3613586072         0.1615928466
        0.2300169000         0.0690050700         2.7250801398         1.3506009628         0.3009733466         0.3613586072         0.1651843366
        0.2350139000         0.0705041700         2.7253063586         1.3480486360         0.2958695916         0.2948712829         0.1687728821
