% K_lin=8.298800  p_cw=[-3.546300 37.820400 -77.140100]  p_ccw=[2.942800 3.999600 -23.482400]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.3700043000         0.2960034400         2.8850790510         1.4297230954         4.3635622613         2.4065087004         2.4564733479
        0.3750042000         0.3000033600         2.8869921811         1.4169614611         4.3635622613         2.0740720793         2.4896678840
        0.3800039000         0.3040031200         2.8889067325         1.4322754222         4.3814254035         2.4729960246         2.5228610923
        0.3850029000         0.3080023200         2.8908225168         1.4246184417         4.3839772810         2.2735340519         2.5560496532
        0.3900043000         0.3120034400         2.8927407264         1.4373800759         4.4018404232         2.6059706731         2.5892541479
        0.3950030000         0.3160024000         2.8946594086         1.4322754222         4.4145998105         2.4729960246         2.6224407171
        0.4000041000         0.3200032800         2.8965805244         1.4322754222         4.4171516879         2.4729960246         2.6556432201
        0.4050031000         0.3240024800         2.8985023490         1.4322754222         4.4145998105         2.4729960246         2.6888317810
        0.4100043000         0.3280034400         2.9004265391         1.4220661148         4.4273591978         2.2070467277         2.7220349479
        0.4150033000         0.3320026400         2.9023514054         1.4271707685         4.4426704625         2.3400213762         2.7552235088
        0.4200029000         0.3360023200         2.9042780289         1.4424847297         4.4452223400         2.7389453215         2.7884160532
        0.4250029000         0.3400023200         2.9062063367         1.4271707685         4.4579817273         2.3400213762         2.8216112532
        0.4300026000         0.3440020800         2.9081360625         1.4348277491         4.4681892371         2.5394833488         2.8548044615
        0.4350056000         0.3480044800         2.9100686008         1.4424847297         4.4886042568         2.7389453215         2.8880195786
        0.4400038000         0.3520030400         2.9120008258         1.4322754222         4.4937080117         2.4729960246         2.9212028284
        0.4450036000         0.3560028800         2.9139352138         1.4322754222         4.5039155215         2.4729960246         2.9543967005
        0.4500032000         0.3600025600         2.9158710728         1.4475893834         4.5166749088         2.8719199700         2.9875892449
        0.4550030000         0.3640024000         2.9178085614         1.4373800759         4.5243305412         2.6059706731         3.0207831171
        0.4600031000         0.3680024800         2.9197477223         1.4373800759         4.5345380510         2.6059706731         3.0539789810
        0.4650036000         0.3720028800         2.9216885984         1.4501417102         4.5447455609         2.9384072942         3.0871775006
        0.4700029000         0.3760023200         2.9236305721         1.4399324028         4.5498493158         2.6724579973         3.1203680532
        0.4750085000         0.3800068000         2.9255765628         1.4373800759         4.5626087031         2.6059706731         3.1536004318
        0.4800043000         0.3840034400         2.9275203138         1.4399324028         4.5753680904         2.6724579973         3.1867677479
        0.4850032000         0.3880025600         2.9294668447         1.4424847297         4.5957831101         2.7389453215         3.2199556449
        0.4900027000         0.3920021600         2.9314151876         1.4475893834         4.6085424974         2.8719199700         3.2531475254
        0.4950045000         0.3960036000         2.9333660103         1.4501417102         4.6161981297         2.9384072942         3.2863546757
        0.5000030000         0.4000024000         2.9353171320         1.4629033445         4.6213018847         3.2708439153         3.3195399171
        0.5050026000         0.4040020800         2.9372702730         1.4501417102         4.6391650269         2.9384072942         3.3527324615
        0.5100040000         0.4080032000         2.9392257121         1.4654556714         4.6519244142         3.3373312396         3.3859369562
        0.5150024000         0.4120019200         2.9411815759         1.4450370565         4.6544762916         2.8054326457         3.4191215337
        0.5200029000         0.4160023200         2.9431398636         1.4526940371         4.6697875564         3.0048946184         3.4523200532
        0.5250030000         0.4200024000         2.9450996008         1.4501417102         4.6799950662         2.9384072942         3.4855159171
        0.5300035000         0.4240028000         2.9470611051         1.4526940371         4.6953063310         3.0048946184         3.5187144366
        0.5350106000         0.4280084800         2.9490268158         1.4577986908         4.7055138408         3.1378692669         3.5519567738
        0.5400046000         0.4320036800         2.9509889999         1.4629033445         4.7259288605         3.2708439153         3.5851121396
        0.5450052000         0.4360041600         2.9529553985         1.4475893834         4.7233769830         2.8719199700         3.6183113230
        0.5500028000         0.4400022400         2.9549222423         1.4552463639         4.7412401252         3.0713819427         3.6514905893
        0.5550031000         0.4440024800         2.9568917786         1.4577986908         4.7616551449         3.1378692669         3.6846877810
        0.5600050000         0.4480040000         2.9588635802         1.4705603251         4.7718626547         3.4703058880         3.7178955952
        0.5650030000         0.4520024000         2.9608354819         1.4629033445         4.7795182871         3.2708439153         3.7510775171
        0.5700044000         0.4560035200         2.9628103677         1.4603510177         4.7922776744         3.2043565911         3.7842820118
        0.5750031000         0.4600024800         2.9647858333         1.4680079982         4.8024851842         3.4038185638         3.8174685810
        0.5800030000         0.4640024000         2.9667634234         1.4475893834         4.8101408166         2.8719199700         3.8506631171
        0.5850029000         0.4680023200         2.9687426681         1.4756649788         4.8382114687         3.6032805365         3.8838576532
        0.5900034000         0.4720027200         2.9707238094         1.4654556714         4.8433152236         3.3373312396         3.9170561727
        0.5950031000         0.4760024800         2.9727062967         1.4705603251         4.8560746109         3.4703058880         3.9502493810
        0.6000142000         0.4800113600         2.9746949770         1.4654556714         4.8713858756         3.3373312396         3.9835182744
        0.6054711000         0.4843768800         2.9768624850         1.4731126519         4.8918008953         3.5367932122         4.0197468517
        0.6100043000         0.4880034400         2.9786646125         1.4680079982         4.8994565277         3.4038185638         4.0498429479
        0.6150590000         0.4920472000         2.9806756855         1.4680079982         4.9198715474         3.4038185638         4.0834013034
        0.6200042000         0.4960033600         2.9826448583         1.4807696325         4.9275271797         3.7362551849         4.1162326840
        0.6250042000         0.5000033600         2.9846375316         1.4654556714         4.9402865670         3.3373312396         4.1494278840
        0.6300051000         0.5040040800         2.9866322568         1.4654556714         4.9479421994         3.3373312396         4.1826290591
