% Motor Triangle Wave Linearization Verification - Cycle Average
% Period      = 40.0 [sec]
% Cycles used = 3
% Fs          = 200 [Hz]
% N per cycle = 8000

Time[s]              Vcmd_ref_avg[V]      Omega_target_avg[rad/s] Omega_avg[rad/s]    
11.3050000000        4.3474340000         10.0325734418        10.2082421373       
11.3100000000        4.3449935833         10.0269416923        10.2525670201       
11.3150000000        4.3424945333         10.0211746346        10.4298665515       
11.3200000000        4.3399906500         10.0153964230        10.4520289928       
11.3250000000        4.3374938333         10.0096345192        10.2525670202       
11.3300000000        4.3349944833         10.0038667692        10.3855416686       
11.3350000000        4.3324951500         9.9980990577         10.1639172545       
11.3400000000        4.3299942667         9.9923277692         10.2304045788       
11.3450000000        4.3274917000         9.9865525961         10.1417548131       
11.3500000000        4.3249951667         9.9807913461         10.2747294616       
11.3550000000        4.3224926500         9.9750162884         10.0974299303       
11.3600000000        4.3199954000         9.9692533846         10.3855416686       
11.3650000000        4.3174939167         9.9634807115         9.9866177233        
11.3700000000        4.3149927333         9.9577087307         10.3190543444       
11.3750000000        4.3124922000         9.9519382499         10.1639172545       
11.3800000000        4.3099944333         9.9461741538         10.2747294616       
11.3850000000        4.3074958833         9.9404082500         10.1639172546       
11.3900000000        4.3049936667         9.9346338846         10.3855416686       
11.3950000000        4.3024912833         9.9288591346         9.8979679576        
11.4000000000        4.2999291500         9.9229464995         10.3412167858       
11.4050000000        4.2974934333         9.9173255961         10.2304045788       
11.4100000000        4.2949791500         9.9115233844         10.0087801647       
11.4150000000        4.2924890333         9.9057769422         9.9866177233        
11.4200000000        4.2899635500         9.8999488843         10.1417548131       
11.4250000000        4.2874881167         9.8942363268         10.2968919030       
11.4300000000        4.2849930333         9.8884784230         10.0309426061       
11.4350000000        4.2824896667         9.8827014037         10.5185163171       
11.4400000000        4.2799872167         9.8769264999         10.0309426061       
11.4450000000        4.2774899667         9.8711635961         10.1860796959       
11.4500000000        4.2749950000         9.8654059615         10.2747294616       
11.4550000000        4.2724871167         9.8596185192         10.3412167858       
11.4600000000        4.2699934833         9.8538639615         9.7206684263        
11.4650000000        4.2674934500         9.8480946346         10.3412167858       
11.4700000000        4.2649941333         9.8423269615         10.2747294616       
11.4750000000        4.2624876833         9.8365428268         10.0752674889       
11.4800000000        4.2599152833         9.8306064993         10.2747294616       
11.4850000000        4.2574934000         9.8250175192         10.4963538757       
11.4900000000        4.2549770500         9.8192105383         9.7428308678        
11.4950000000        4.2524930500         9.8134782115         10.1639172545       
11.5000000000        4.2499481333         9.8076053073         10.6293285241       
11.5050000000        4.2474905667         9.8019339807         9.7428308678        
11.5100000000        4.2449922833         9.7961686923         10.2082421373       
11.5150000000        4.2424954333         9.7904067115         10.2304045787       
11.5200000000        4.2399932833         9.7846325000         9.8979679576        
11.5250000000        4.2374928167         9.7788621730         10.3633792272       
11.5300000000        4.2349921667         9.7730914230         10.5850036413       
11.5350000000        4.2324928667         9.7673237884         9.7206684263        
11.5400000000        4.2299931167         9.7615551153         10.5628411999       
11.5450000000        4.2274880500         9.7557741730         9.9866177233        
11.5500000000        4.2249934667         9.7500174230         10.0087801647       
11.5550000000        4.2224940500         9.7442495192         10.2304045788       
11.5600000000        4.2199941333         9.7384804615         10.1195923717       
11.5650000000        4.2174927167         9.7327079422         9.9866177232        
11.5700000000        4.2149925167         9.7269382307         10.4298665515       
11.5750000000        4.2124963000         9.7211777115         9.8979679576        
11.5800000000        4.2099891333         9.7153919230         10.0974299303       
11.5850000000        4.2074932167         9.7096320961         10.2304045787       
11.5900000000        4.2049933833         9.7038632307         10.0531050475       
11.5950000000        4.2024907333         9.6980878653         10.1860796959       
11.6000000000        4.1999939500         9.6923260384         10.3190543444       
11.6050000000        4.1974954000         9.6865601346         10.0752674889       
11.6100000000        4.1949949000         9.6807897307         10.0531050475       
11.6150000000        4.1924583167         9.6749360574         10.3412167858       
11.6200000000        4.1899923000         9.6692452307         10.1417548131       
11.6250000000        4.1874719333         9.6634289806         9.9644552818        
11.6300000000        4.1849747333         9.6576661921         10.5628411999       
11.6350000000        4.1824912500         9.6519350576         10.0087801647       
11.6400000000        4.1799841667         9.6461494614         9.8758055162        
11.6450000000        4.1774931333         9.6404009038         10.4077041101       
11.6500000000        4.1749931167         9.6346316153         10.0752674889       
11.6550000000        4.1724921167         9.6288600576         9.8536430748        
11.6600000000        4.1699895000         9.6230847691         10.4741914343       
11.6650000000        4.1674901000         9.6173169038         10.0974299303       
11.6700000000        4.1649930333         9.6115544230         9.9201303991        
11.6750000000        4.1624965167         9.6057932115         10.3190543444       
11.6800000000        4.1599806833         9.5999874229         10.0309426061       
11.6850000000        4.1574923667         9.5942451346         9.8979679576        
11.6900000000        4.1549923833         9.5884759230         10.2968919030       
11.6950000000        4.1524925500         9.5827070576         9.9422928404        
11.7000000000        4.1499836333         9.5769172307         9.9201303990        
11.7050000000        4.1474935333         9.5711708269         9.9422928404        
11.7100000000        4.1449926833         9.5653996153         10.0309426061       
11.7150000000        4.1424917500         9.5596282115         9.9422928404        
11.7200000000        4.1399940667         9.5538643076         9.9644552819        
11.7250000000        4.1374924000         9.5480912115         9.9644552818        
11.7300000000        4.1349939667         9.5423255769         9.8979679577        
11.7350000000        4.1324923500         9.5365525961         9.8758055162        
11.7400000000        4.1299915500         9.5307814999         10.0531050475       
11.7450000000        4.1274912333         9.5250115192         9.6541811021        
11.7500000000        4.1249643167         9.5191801536         9.9201303991        
11.7550000000        4.1224927500         9.5134765192         9.9866177233        
11.7600000000        4.1199951833         9.5077128846         9.8314806334        
11.7650000000        4.1174877000         9.5019263653         9.9644552819        
11.7700000000        4.1149343500         9.4960339995         9.9644552818        
11.7750000000        4.1124677500         9.4903418267         9.8536430748        
11.7800000000        4.1099950833         9.4846356538         10.0087801646       
11.7850000000        4.1074813000         9.4788345960         9.8758055162        
11.7900000000        4.1049590333         9.4730139612         9.7428308678        
11.7950000000        4.1024914500         9.4673195192         9.6098562193        
11.8000000000        4.0999698000         9.4615003075         9.8536430748        
11.8050000000        4.0974944500         9.4557879423         9.7871557506        
11.8100000000        4.0949861333         9.4499994999         9.7649933092        
11.8150000000        4.0924907167         9.4442408269         9.6985059849        
11.8200000000        4.0899936833         9.4384784230         9.6985059849        
11.8250000000        4.0874861167         9.4326917114         9.8536430748        
11.8300000000        4.0849927000         9.4269376538         10.0309426061       
11.8350000000        4.0824918000         9.4211663269         9.3217444810        
11.8400000000        4.0799940333         9.4154022307         9.8758055162        
11.8450000000        4.0774912333         9.4096265192         9.9866177232        
11.8500000000        4.0749873167         9.4038482307         9.4547191294        
11.8550000000        4.0724934833         9.3980932115         9.7649933092        
11.8600000000        4.0699940000         9.3923251538         9.5212064537        
11.8650000000        4.0674880000         9.3865420576         9.5212064537        
11.8700000000        4.0649654167         9.3807206920         9.6763435435        
11.8750000000        4.0624905333         9.3750094037         9.8979679576        
11.8800000000        4.0599938500         9.3692478076         9.6985059849        
11.8850000000        4.0574815333         9.3634501345         9.6763435435        
11.8900000000        4.0549920833         9.3577052307         9.9201303990        
11.8950000000        4.0524922833         9.3519364422         9.5433688951        
11.9000000000        4.0499942833         9.3461718077         9.7871557506        
11.9050000000        4.0474894667         9.3403914422         9.5876937779        
11.9100000000        4.0449939500         9.3346325384         9.6763435435        
11.9150000000        4.0424912333         9.3288570192         9.6763435435        
11.9200000000        4.0399920500         9.3230896538         9.6541811021        
11.9250000000        4.0374918833         9.3173200192         9.5433688951        
11.9300000000        4.0349810333         9.3115257306         9.6985059849        
11.9350000000        4.0324929500         9.3057839807         9.4990440123        
11.9400000000        4.0299959167         9.3000215769         9.3660693638        
11.9450000000        4.0274843000         9.2942255191         9.7871557506        
11.9500000000        4.0249613500         9.2884033074         9.3217444810        
11.9550000000        4.0224522833         9.2826131342         9.5433688951        
11.9600000000        4.0199921333         9.2769358461         9.5212064537        
11.9650000000        4.0174914167         9.2711649422         9.5655313365        
11.9700000000        4.0149941000         9.2654018846         9.4768815709        
11.9750000000        4.0124922667         9.2596284038         9.9201303990        
11.9800000000        4.0099770667         9.2538240767         9.2330947153        
11.9850000000        4.0074842500         9.2480714037         9.7206684263        
11.9900000000        4.0049750500         9.2422809229         9.3882318052        
11.9950000000        4.0024919000         9.2365505576         9.9201303991        
12.0000000000        3.9999821667         9.2307588460         9.3882318052        
12.0050000000        3.9974930000         9.2250145961         9.7206684263        
12.0100000000        3.9949945167         9.2192488461         9.3882318052        
12.0150000000        3.9924954000         9.2134816346         9.6098562193        
12.0200000000        3.9899931333         9.2077071538         9.1444449497        
12.0250000000        3.9874921333         9.2019355961         9.5655313365        
12.0300000000        3.9849932167         9.1961688461         9.5433688951        
12.0350000000        3.9824945833         9.1904027500         9.4325566880        
12.0400000000        3.9799949000         9.1846342307         9.1222825083        
12.0450000000        3.9774940000         9.1788629038         9.6320186607        
12.0500000000        3.9749938667         9.1730933461         9.3439069224        
12.0550000000        3.9724864333         9.1673069422         9.3660693638        
12.0600000000        3.9699924000         9.1615514615         9.4768815708        
12.0650000000        3.9674921333         9.1557815961         9.3217444810        
12.0700000000        3.9649944333         9.1500176538         9.2109322740        
12.0750000000        3.9624940667         9.1442475577         9.4325566881        
12.0800000000        3.9599918000         9.1384730769         9.3217444810        
12.0850000000        3.9574912167         9.1327024807         9.4547191294        
12.0900000000        3.9549927667         9.1269368076         9.5212064537        
12.0950000000        3.9524926500         9.1211672884         9.4325566880        
12.1000000000        3.9499946500         9.1154026538         9.2109322740        
12.1050000000        3.9474927500         9.1096290192         9.2995820396        
12.1100000000        3.9449931333         9.1038606538         9.1444449497        
12.1150000000        3.9424931167         9.0980913654         9.3882318052        
12.1200000000        3.9399134833         9.0921383455         9.1666073911        
12.1250000000        3.9374896500         9.0865448653         9.5655313365        
12.1300000000        3.9349520333         9.0806888073         9.1887698325        
12.1350000000        3.9324945500         9.0750176730         9.5876937779        
12.1400000000        3.9299912500         9.0692408077         9.3439069224        
12.1450000000        3.9274931167         9.0634758653         9.5876937779        
12.1500000000        3.9249840333         9.0576856537         9.0114703013        
12.1550000000        3.9224946500         9.0519409038         9.5655313365        
12.1600000000        3.9199949333         9.0461723077         9.2109322740        
12.1650000000        3.9174942167         9.0404014038         9.3217444810        
12.1700000000        3.9149646333         9.0345638844         9.2774195982        
12.1750000000        3.9124934167         9.0288610576         9.5433688951        
12.1800000000        3.9099728000         9.0230442306         9.2995820396        
12.1850000000        3.9074949333         9.0173260577         9.3439069224        
12.1900000000        3.9049375500         9.0114243841         9.3882318052        
12.1950000000        3.9024953333         9.0057884807         9.7206684264        
12.2000000000        3.8999932333         9.0000143846         9.2774195982        
12.2050000000        3.8974930500         8.9942447115         9.3217444810        
12.2100000000        3.8949916667         8.9884722692         9.5433688951        
12.2150000000        3.8924921000         8.9827040192         9.2774195982        
12.2200000000        3.8899932833         8.9769374999         9.2552571568        
12.2250000000        3.8874956333         8.9711736730         9.4768815709        
12.2300000000        3.8849938833         8.9654003846         9.2109322740        
12.2350000000        3.8824927667         8.9596285576         9.6763435436        
12.2400000000        3.8799933167         8.9538605769         9.4325566880        
12.2450000000        3.8774953000         8.9480959038         9.4325566880        
12.2500000000        3.8749946667         8.9423251923         9.2330947154        
12.2550000000        3.8724954500         8.9365577500         9.4103942466        
12.2600000000        3.8699941500         8.9307854999         9.2552571568        
12.2650000000        3.8674944167         8.9250168654         9.3660693638        
12.2700000000        3.8649867500         8.9192299230         9.4990440122        
12.2750000000        3.8624950500         8.9134798269         9.1222825083        
12.2800000000        3.8599931333         8.9077061538         9.2552571568        
12.2850000000        3.8574846167         8.9019172499         9.4325566880        
12.2900000000        3.8549907333         8.8961621153         9.0114703013        
12.2950000000        3.8524955167         8.8904039038         9.2774195982        
12.3000000000        3.8499928500         8.8846284999         9.3217444810        
12.3050000000        3.8474862833         8.8788440961         9.2995820396        
12.3100000000        3.8449936167         8.8730917692         9.4325566880        
12.3150000000        3.8424893000         8.8673125576         9.3439069224        
12.3200000000        3.8399914167         8.8615481922         9.2995820396        
12.3250000000        3.8374817333         8.8557565960         9.4325566880        
12.3300000000        3.8349904333         8.8500074230         9.1222825083        
12.3350000000        3.8324950500         8.8442488269         9.7206684263        
12.3400000000        3.8299957167         8.8384811154         9.4768815709        
12.3450000000        3.8274950000         8.8327102115         9.0779576255        
12.3500000000        3.8249552333         8.8268491919         9.5655313365        
12.3550000000        3.8224953333         8.8211724807         9.2995820396        
12.3600000000        3.8199929000         8.8153976153         9.2774195982        
12.3650000000        3.8174933833         8.8096294807         9.3660693638        
12.3700000000        3.8149401667         8.8037374226         9.1887698325        
12.3750000000        3.8123576667         8.7977777873         9.3660693638        
12.3800000000        3.8099939833         8.7923231153         9.1222825083        
12.3850000000        3.8074944667         8.7865549808         9.2995820396        
12.3900000000        3.8049402500         8.7806606149         9.3439069224        
12.3950000000        3.8024845833         8.7749936730         9.1444449497        
12.4000000000        3.7999901167         8.7692371922         9.3217444810        
12.4050000000        3.7974902500         8.7634682499         9.2552571568        
12.4100000000        3.7949604000         8.7576301151         9.0336327427        
12.4150000000        3.7924908833         8.7519312115         9.2774195982        
12.4200000000        3.7899831333         8.7461440768         9.1444449497        
12.4250000000        3.7874887333         8.7403877499         9.0114703013        
12.4300000000        3.7849963667         8.7346361154         9.2109322739        
12.4350000000        3.7824952167         8.7288642115         9.1001200669        
12.4400000000        3.7799933667         8.7230906923         9.0114703013        
12.4450000000        3.7774922667         8.7173189038         9.0114703013        
12.4500000000        3.7749874833         8.7115386153         9.0557951841        
12.4550000000        3.7724965000         8.7057901731         9.1887698325        
12.4600000000        3.7699945833         8.7000165000         9.0114703013        
12.4650000000        3.7674767500         8.6942060960         9.0557951841        
12.4700000000        3.7649883500         8.6884636153         9.1001200669        
12.4750000000        3.7624933000         8.6827057884         8.9449829771        
12.4800000000        3.7599926333         8.6769349999         9.0557951841        
12.4850000000        3.7574913000         8.6711626730         9.1444449497        
12.4900000000        3.7549890167         8.6653881538         9.2109322739        
12.4950000000        3.7524949333         8.6596325576         8.9671454184        
12.5000000000        3.7499919833         8.6538565000         9.1666073912        
12.5050000000        3.7474910833         8.6480851730         9.1444449497        
12.5100000000        3.7449569000         8.6422370381         9.0779576255        
12.5150000000        3.7424920500         8.6365489038         8.9671454185        
12.5200000000        3.7399943167         8.6307848846         9.1001200669        
12.5250000000        3.7374663833         8.6249511728         9.0114703013        
12.5300000000        3.7349884000         8.6192327307         9.1887698325        
12.5350000000        3.7324926167         8.6134732115         9.1222825083        
12.5400000000        3.7299659000         8.6076423074         9.0114703013        
12.5450000000        3.7274924500         8.6019343269         9.1222825083        
12.5500000000        3.7249671500         8.5961066920         8.8120083286        
12.5550000000        3.7224938000         8.5903989423         9.3882318052        
12.5600000000        3.7199940000         8.5846301538         8.9228205356        
12.5650000000        3.7174906000         8.5788530576         9.1444449497        
12.5700000000        3.7149924167         8.5730880000         9.1444449497        
12.5750000000        3.7124926333         8.5673192499         8.9228205356        
12.5800000000        3.7099918333         8.5615481538         9.0557951841        
12.5850000000        3.7074936167         8.5557830192         8.8563332114        
12.5900000000        3.7049875500         8.5499997691         8.8784956528        
12.5950000000        3.7024675500         8.5441843651         8.8341707700        
12.6000000000        3.6999926833         8.5384731153         8.9671454185        
12.6050000000        3.6974944833         8.5327080192         8.8784956528        
12.6100000000        3.6949924333         8.5269340384         8.8784956528        
12.6150000000        3.6924892833         8.5211575191         8.8784956528        
12.6200000000        3.6899896667         8.5153891537         9.0114703013        
12.6250000000        3.6874922667         8.5096259038         8.8563332114        
12.6300000000        3.6849928000         8.5038578846         8.9671454185        
12.6350000000        3.6824925333         8.4980880192         8.8341707700        
12.6400000000        3.6799944000         8.4923230769         8.7233585629        
12.6450000000        3.6774945167         8.4865540961         8.8563332114        
12.6500000000        3.6749950667         8.4807861153         8.7455210044        
12.6550000000        3.6724911500         8.4750078269         8.9228205357        
12.6600000000        3.6699946167         8.4692465769         8.8784956528        
12.6650000000        3.6674938500         8.4634755576         8.6790336801        
12.6700000000        3.6649860333         8.4576882691         8.9893078599        
12.6750000000        3.6624950000         8.4519397115         9.0114703013        
12.6800000000        3.6599908333         8.4461608461         8.7455210043        
12.6850000000        3.6574948333         8.4404008269         9.0336327427        
12.6900000000        3.6549463167         8.4345196150         8.8784956528        
12.6950000000        3.6524966167         8.4288664423         8.6790336801        
12.7000000000        3.6499945333         8.4230923846         8.8784956528        
12.7050000000        3.6474950667         8.4173243654         8.8784956528        
12.7100000000        3.6449956833         8.4115565384         8.7011961216        
12.7150000000        3.6424941500         8.4057837500         8.7011961215        
12.7200000000        3.6399949667         8.4000163846         8.6125463559        
12.7250000000        3.6374931333         8.3942429038         8.6125463559        
12.7300000000        3.6349946833         8.3884772307         8.7898458872        
12.7350000000        3.6324915667         8.3827007884         8.5238965903        
12.7400000000        3.6299954000         8.3769403846         8.5460590317        
12.7450000000        3.6274872167         8.3711522499         8.7011961215        
12.7500000000        3.6249963500         8.3654040769         8.7455210044        
12.7550000000        3.6224942333         8.3596299423         8.5903839145        
12.7600000000        3.6199963667         8.3538656153         8.5238965903        
12.7650000000        3.6174954667         8.3480942884         8.4130843832        
12.7700000000        3.6149952500         8.3423245384         8.4795717075        
12.7750000000        3.6124950167         8.3365547500         8.5017341489        
12.7800000000        3.6099895500         8.3307728845         8.5903839145        
12.7850000000        3.6074952500         8.3250167884         8.6568712387        
12.7900000000        3.6049953667         8.3192478076         8.5017341489        
12.7950000000        3.6024957333         8.3134794038         8.5682214731        
12.8000000000        3.5999964833         8.3077118846         8.5238965903        
12.8050000000        3.5974956833         8.3019407884         8.5017341489        
12.8100000000        3.5949955333         8.2961711923         8.5017341489        
12.8150000000        3.5924950667         8.2904008653         8.5017341489        
12.8200000000        3.5899883333         8.2846160769         8.5682214731        
12.8250000000        3.5874951333         8.2788625192         8.6347087973        
12.8300000000        3.5849891667         8.2730794999         8.4130843832        
12.8350000000        3.5824931500         8.2673194422         8.4795717075        
12.8400000000        3.5799942333         8.2615526923         8.5903839145        
12.8450000000        3.5774932833         8.2557812500         8.4795717075        
12.8500000000        3.5749926333         8.2500105000         8.5460590317        
12.8550000000        3.5724936500         8.2442435961         8.3687595004        
12.8600000000        3.5699547333         8.2383845381         8.6125463559        
12.8650000000        3.5674939000         8.2327056730         8.6125463559        
12.8700000000        3.5649950833         8.2269391538         8.3687595004        
12.8750000000        3.5624955667         8.2211710192         8.5238965903        
12.8800000000        3.5598337667         8.2150283833         8.4352468246        
12.8850000000        3.5574928667         8.2096262884         8.2357848520        
12.8900000000        3.5542911833         8.2022377638         8.4574092661        
12.8950000000        3.5519342833         8.1967987456         8.6790336802        
12.9000000000        3.5492350500         8.1905697249         8.4574092660        
12.9050000000        3.5472914167         8.1860844022         8.3909219418        
12.9100000000        3.5449954667         8.1807860384         8.5682214731        
12.9150000000        3.5424954167         8.1750166730         8.1028102035        
12.9200000000        3.5399965500         8.1692500384         8.5903839145        
12.9250000000        3.5374956833         8.1634787884         8.4352468246        
12.9300000000        3.5349954500         8.1577090000         8.2136224106        
12.9350000000        3.5324950167         8.1519387500         8.5238965903        
12.9400000000        3.5299884667         8.1461543845         8.4574092660        
12.9450000000        3.5274962500         8.1404030961         8.5238965903        
12.9500000000        3.5249957167         8.1346326154         8.3465970590        
12.9550000000        3.5224960333         8.1288640961         8.9893078599        
12.9600000000        3.5199930833         8.1230880384         8.4352468246        
12.9650000000        3.5174820500         8.1172933268         8.5238965903        
12.9700000000        3.5149912167         8.1115452307         8.6125463559        
12.9750000000        3.5124958333         8.1057866346         8.4795717075        
12.9800000000        3.5099953000         8.1000161538         8.2136224105        
12.9850000000        3.5074955500         8.0942474808         8.7455210044        
12.9900000000        3.5049951333         8.0884772692         8.5460590317        
12.9950000000        3.5024882333         8.0826920961         8.1914599691        
13.0000000000        3.4999731833         8.0768881152         8.8341707700        
13.0050000000        3.4974914667         8.0711610577         8.2801097348        
13.0100000000        3.4949949333         8.0653998077         8.3687595004        
13.0150000000        3.4924957333         8.0596324038         8.6125463559        
13.0200000000        3.4899955500         8.0538627307         8.2357848520        
13.0250000000        3.4874923000         8.0480859807         8.3909219418        
13.0300000000        3.4849946333         8.0423221154         8.7455210044        
13.0350000000        3.4824950667         8.0365538653         8.2801097348        
13.0400000000        3.4799955000         8.0307856154         8.3465970590        
13.0450000000        3.4774942167         8.0250134038         8.5903839145        
13.0500000000        3.4749940000         8.0192436538         8.2136224106        
13.0550000000        3.4724934000         8.0134730192         8.3909219418        
13.0600000000        3.4699957667         8.0077092307         8.5903839145        
13.0650000000        3.4674948167         8.0019377884         8.4130843832        
13.0700000000        3.4649958833         7.9961710000         8.4352468246        
13.0750000000        3.4624951500         7.9904000577         8.5238965903        
13.0800000000        3.4599938000         7.9846276923         8.3244346176        
13.0850000000        3.4574950167         7.9788612500         8.1692975277        
13.0900000000        3.4549958000         7.9730938077         8.6347087973        
13.0950000000        3.4524740167         7.9672742882         8.3909219418        
13.1000000000        3.4499831833         7.9615261922         8.3022721762        
13.1050000000        3.4474952667         7.9557848269         8.5238965903        
13.1100000000        3.4449396000         7.9498871149         8.4795717075        
13.1150000000        3.4424947667         7.9442451730         8.2357848519        
13.1200000000        3.4397099000         7.9378185362         8.5238965902        
13.1250000000        3.4374951500         7.9327075577         8.3909219418        
13.1300000000        3.4349955333         7.9269391923         8.3465970590        
13.1350000000        3.4324955333         7.9211699423         8.4795717074        
13.1400000000        3.4299897000         7.9153872307         8.5460590317        
13.1450000000        3.4274948833         7.9096299423         8.3244346176        
13.1500000000        3.4249956333         7.9038624231         8.5903839145        
13.1550000000        3.4224854500         7.8980696730         8.2136224105        
13.1600000000        3.4199936333         7.8923193076         8.1914599691        
13.1650000000        3.4174955000         7.8865543653         8.3465970590        
13.1700000000        3.4149937667         7.8807811153         8.3465970590        
13.1750000000        3.4124936333         7.8750115576         8.2579472934        
13.1800000000        3.4099953000         7.8692461538         8.4130843832        
13.1850000000        3.4074952167         7.8634767115         8.3022721762        
13.1900000000        3.4049871167         7.8576887691         8.1914599692        
13.1950000000        3.4024928000         7.8519326346         8.2801097348        
13.2000000000        3.3999942000         7.8461666153         8.3909219418        
13.2050000000        3.3974951500         7.8403995576         7.9919979964        
13.2100000000        3.3949960000         7.8346322692         8.4130843832        
13.2150000000        3.3924958167         7.8288625961         8.4130843832        
13.2200000000        3.3899947000         7.8230907692         8.3465970590        
13.2250000000        3.3874951500         7.8173225576         8.2579472934        
13.2300000000        3.3849950167         7.8115529999         8.2357848520        
13.2350000000        3.3824955333         7.8057849423         8.3687595004        
13.2400000000        3.3799950000         7.8000144615         8.4574092660        
13.2450000000        3.3774952500         7.7942457884         8.2357848520        
13.2500000000        3.3749439500         7.7883581534         8.1471350863        
13.2550000000        3.3724936833         7.7827036730         8.2579472934        
13.2600000000        3.3699326167         7.7767934995         8.3022721762        
13.2650000000        3.3674954667         7.7711692884         8.0806477621        
13.2700000000        3.3649960667         7.7654014231         8.3909219418        
13.2750000000        3.3624953167         7.7596304423         8.4130843832        
13.2800000000        3.3599966500         7.7538642692         8.1028102035        
13.2850000000        3.3574959500         7.7480934038         8.2357848519        
13.2900000000        3.3549957667         7.7423237308         8.0363228793        
13.2950000000        3.3524957333         7.7365544038         8.2579472934        
13.3000000000        3.3499968333         7.7307876923         8.1471350863        
13.3050000000        3.3474955333         7.7250154423         8.3244346176        
13.3100000000        3.3449969333         7.7192494230         8.0363228793        
13.3150000000        3.3424962500         7.7134785961         8.2579472934        
13.3200000000        3.3399961833         7.7077091923         8.1471350863        
13.3250000000        3.3374959000         7.7019392884         8.0363228793        
13.3300000000        3.3349967167         7.6961719231         8.1028102035        
13.3350000000        3.3324952667         7.6903993269         7.9476731137        
13.3400000000        3.3299963000         7.6846324615         8.0806477621        
13.3450000000        3.3274966000         7.6788639038         7.9255106723        
13.3500000000        3.3249955167         7.6730921538         8.1028102035        
13.3550000000        3.3224959000         7.6673237884         8.0141604379        
13.3600000000        3.3199956333         7.6615539230         7.9255106722        
13.3650000000        3.3174954167         7.6557841730         7.9476731136        
13.3700000000        3.3149949500         7.6500138461         8.1914599691        
13.3750000000        3.3124961500         7.6442473653         7.7925360238        
13.3800000000        3.3099940833         7.6384733461         8.1249726449        
13.3850000000        3.3074883000         7.6326907499         7.9476731137        
13.3900000000        3.3049953167         7.6269376923         7.9476731137        
13.3950000000        3.3024939000         7.6211651730         8.0141604379        
13.4000000000        3.2999949000         7.6153982307         7.9033482308        
13.4050000000        3.2974943333         7.6096276730         7.8590233480        
13.4100000000        3.2949947167         7.6038593076         8.0584853207        
13.4150000000        3.2924955333         7.5980919423         7.7703735824        
13.4200000000        3.2899778000         7.5922817690         8.1028102035        
13.4250000000        3.2874930000         7.5865475961         7.9033482308        
13.4300000000        3.2849939500         7.5807805384         7.7925360238        
13.4350000000        3.2824950333         7.5750137884         8.0806477621        
13.4400000000        3.2799936333         7.5692413076         7.9476731137        
13.4450000000        3.2774947667         7.5634746730         8.0141604379        
13.4500000000        3.2749621667         7.5576301920         7.8811857894        
13.4550000000        3.2724941833         7.5519348269         7.9476731136        
13.4600000000        3.2699762667         7.5461242306         7.9255106722        
13.4650000000        3.2674960000         7.5404005192         7.6152364925        
13.4700000000        3.2649959667         7.5346311923         7.8590233480        
13.4750000000        3.2624968667         7.5288640192         7.7703735824        
13.4800000000        3.2599957333         7.5230921538         7.9476731136        
13.4850000000        3.2574961000         7.5173237500         7.7703735824        
13.4900000000        3.2549957333         7.5115536538         7.9476731136        
13.4950000000        3.2524969333         7.5057871731         7.8368609066        
13.5000000000        3.2499945667         7.5000124615         7.7703735824        
13.5050000000        3.2474955500         7.4942454807         7.8146984652        
13.5100000000        3.2449946000         7.4884740384         7.8146984652        
13.5150000000        3.2424959000         7.4827077884         7.7260486996        
13.5200000000        3.2399947833         7.4769359615         7.6373989339        
13.5250000000        3.2374952333         7.4711677500         7.7703735824        
13.5300000000        3.2349938167         7.4653952307         7.7925360238        
13.5350000000        3.2324953500         7.4596295192         7.5265867269        
13.5400000000        3.2299915667         7.4538515384         7.7038862581        
13.5450000000        3.2274940500         7.4480880192         7.6595613753        
13.5500000000        3.2249929167         7.4423161538         7.8146984652        
13.5550000000        3.2224560500         7.4364618266         7.3936120784        
13.5600000000        3.2199923000         7.4307762307         7.8811857894        
13.5650000000        3.2174535167         7.4249174804         7.5930740511        
13.5700000000        3.2149933000         7.4192400384         7.8811857894        
13.5750000000        3.2124350500         7.4133363649         7.7038862581        
13.5800000000        3.2099919333         7.4076983846         7.6152364925        
13.5850000000        3.2074944667         7.4019349807         7.7482111410        
13.5900000000        3.2049935000         7.3961635000         7.5044242854        
13.5950000000        3.2024929667         7.3903930192         7.7925360238        
13.6000000000        3.1999955667         7.3846297692         7.6817238167        
13.6050000000        3.1974952500         7.3788597884         7.5709116097        
13.6100000000        3.1949949500         7.3730898461         7.9476731136        
13.6150000000        3.1924948667         7.3673204038         7.5044242855        
13.6200000000        3.1899948833         7.3615511923         7.5930740511        
13.6250000000        3.1874939833         7.3557798654         7.6152364925        
13.6300000000        3.1849785833         7.3499750768         7.4822618441        
13.6350000000        3.1824934833         7.3442402115         7.7260486995        
13.6400000000        3.1799935667         7.3384711538         7.5709116097        
13.6450000000        3.1774848167         7.3326817114         7.7260486996        
13.6500000000        3.1749951833         7.3269363846         7.6152364925        
13.6550000000        3.1724956667         7.3211682500         7.6595613753        
13.6600000000        3.1699956833         7.3153990384         7.7260486995        
13.6650000000        3.1674963167         7.3096312500         7.6817238167        
13.6700000000        3.1649955500         7.3038602307         7.5709116097        
13.6750000000        3.1624969000         7.2980940961         7.7925360238        
13.6800000000        3.1599949500         7.2923203461         7.4600994026        
13.6850000000        3.1574944167         7.2865498653         7.5709116097        
13.6900000000        3.1549946333         7.2807811153         7.4822618441        
