% Motor Triangle Wave Linearization Verification - Cycle Average
% Period      = 40.0 [sec]
% Cycles used = 3
% Fs          = 200 [Hz]
% N per cycle = 8000

Time[s]              Vcmd_ref_avg[V]      Omega_target_avg[rad/s] Omega_avg[rad/s]    
0.5250000000         0.2625068333         0.6057870193         0.6340674487        
0.5300000000         0.2650223000         0.6115919617         0.4124430346        
0.5350000000         0.2675072833         0.6173265577         0.5232552417        
0.5400000000         0.2700086167         0.6230988847         0.7005547729        
0.5450000000         0.2725040000         0.6288574808         0.3902805932        
0.5500000000         0.2750187833         0.6346608463         0.4567679175        
0.5550000000         0.2775040333         0.6403960577         0.3902805932        
0.5600000000         0.2800040333         0.6461653077         0.4789303588        
0.5650000000         0.2825054000         0.6519377116         0.4124430346        
0.5700000000         0.2850081667         0.6577133462         0.4789303588        
0.5750000000         0.2875196167         0.6635090194         0.3902805932        
0.5800000000         0.2900065667         0.6692481539         0.4124430346        
0.5850000000         0.2925068500         0.6750180577         0.6119050073        
0.5900000000         0.2950073833         0.6807885385         0.5897425659        
0.5950000000         0.2975045833         0.6865513270         0.3459557104        
0.6000000000         0.3000075333         0.6923273847         0.4346054760        
0.6050000000         0.3025058833         0.6980928270         0.3237932690        
0.6100000000         0.3050078000         0.7038665000         0.4124430346        
0.6150000000         0.3075084500         0.7096372500         0.4346054760        
0.6200000000         0.3100067167         0.7154025000         0.4567679174        
0.6250000000         0.3125085500         0.7211759808         0.4346054760        
0.6300000000         0.3150238000         0.7269804232         0.5675801245        
0.6350000000         0.3175053333         0.7327070577         0.5897425659        
0.6400000000         0.3200276000         0.7385276925         0.7670420971        
0.6450000000         0.3225052500         0.7442453654         0.5897425659        
0.6500000000         0.3250064833         0.7500174616         0.6562298901        
0.6550000000         0.3275043000         0.7557816731         0.5010928002        
0.6600000000         0.3300059833         0.7615548077         0.4124430346        
0.6650000000         0.3325037667         0.7673189423         0.5675801245        
0.6700000000         0.3350063667         0.7730941924         0.6340674487        
0.6750000000         0.3375047500         0.7788597116         0.7227172143        
0.6800000000         0.3400080167         0.7846365000         0.6783923315        
0.6850000000         0.3425050667         0.7903989424         0.6783923315        
0.6900000000         0.3450060333         0.7961704231         0.5454176831        
0.6950000000         0.3475040333         0.8019350577         0.6119050073        
0.7000000000         0.3500065500         0.8077101154         0.7005547729        
0.7050000000         0.3525258333         0.8135238656         0.6783923315        
0.7100000000         0.3550090167         0.8192543078         0.6562298901        
0.7150000000         0.3575063000         0.8250172885         0.6562298901        
0.7200000000         0.3600042667         0.8307818462         0.7892045386        
0.7250000000         0.3625053667         0.8365536347         0.7005547729        
0.7300000000         0.3650055000         0.8423231924         0.6562298901        
0.7350000000         0.3675065500         0.8480948654         0.7227172143        
0.7400000000         0.3700070333         0.8538652308         0.7448796558        
0.7450000000         0.3725054667         0.8596308654         0.9443416284        
0.7500000000         0.3750048167         0.8653986154         0.9665040698        
0.7550000000         0.3775072167         0.8711734039         0.8556918628        
0.7600000000         0.3800063000         0.8769405385         0.9221791871        
0.7650000000         0.3825281667         0.8827602502         1.0551538355        
0.7700000000         0.3850160833         0.8885016155         0.8556918628        
0.7750000000         0.3875071500         0.8942502501         0.8778543042        
0.7800000000         0.3900063167         0.9000175770         1.0994787183        
0.7850000000         0.3925053500         0.9057845962         0.9221791870        
0.7900000000         0.3950419333         0.9116382696         0.9000167456        
0.7950000000         0.3975068000         0.9173264424         1.0773162769        
0.8000000000         0.4000072333         0.9230966924         0.7670420972        
0.8050000000         0.4025065167         0.9288642885         0.7892045386        
0.8100000000         0.4050049333         0.9346298846         0.8335294214        
0.8150000000         0.4075076500         0.9404054039         0.9000167456        
0.8200000000         0.4100077500         0.9461748847         1.0551538355        
0.8250000000         0.4125294000         0.9519940964         0.9000167456        
0.8300000000         0.4150143167         0.9577285386         0.8335294214        
0.8350000000         0.4175107000         0.9634894424         1.1438036011        
0.8400000000         0.4200217333         0.9692841540         1.0773162769        
0.8450000000         0.4225093333         0.9750247885         1.0551538355        
0.8500000000         0.4250070000         0.9807886539         1.0329913941        
0.8550000000         0.4275078833         0.9865599424         0.9000167456        
0.8600000000         0.4300060500         0.9923249616         0.9000167456        
0.8650000000         0.4325077500         0.9980981347         1.0108289527        
0.8700000000         0.4350366333         1.0039340387         0.9221791871        
0.8750000000         0.4375081667         1.0096375962         1.0108289527        
0.8800000000         0.4400051333         1.0153998462         1.0551538355        
0.8850000000         0.4425100167         1.0211803655         0.9886665113        
0.8900000000         0.4450196500         1.0269718463         1.0773162769        
0.8950000000         0.4475092000         1.0327169808         0.9886665113        
0.9000000000         0.4500310500         1.0385366541         0.8556918628        
0.9050000000         0.4525146333         1.0442680194         1.0329913941        
0.9100000000         0.4550057167         1.0500166924         0.9443416284        
0.9150000000         0.4575080167         1.0557912501         1.0551538355        
0.9200000000         0.4600205833         1.0615895001         0.9665040698        
0.9250000000         0.4625132333         1.0673417885         0.9665040698        
0.9300000000         0.4650418167         1.0731770003         1.1216411597        
0.9350000000         0.4675085167         1.0788694039         1.1659660425        
0.9400000000         0.4700080000         1.0846374616         1.2767782496        
0.9450000000         0.4725096833         1.0904105962         1.1438036011        
0.9500000000         0.4750295333         1.0962256541         1.1659660425        
0.9550000000         0.4775074500         1.1019439424         1.2324533668        
0.9600000000         0.4800065000         1.1077110000         1.2546158082        
0.9650000000         0.4825069167         1.1134812116         1.1881284839        
0.9700000000         0.4850223667         1.1192861155         1.2324533668        
0.9750000000         0.4875102167         1.1250273270         1.1216411597        
0.9800000000         0.4900070667         1.1307893078         1.2324533668        
0.9850000000         0.4925096833         1.1365645962         1.2324533668        
0.9900000000         0.4950169833         1.1423506924         1.0994787183        
0.9950000000         0.4976111833         1.1483373278         1.1659660425        
1.0000000000         0.5000453000         1.1539545388         1.0994787183        
1.0050000000         0.5025069500         1.1596352885         1.0329913941        
1.0100000000         0.5050133667         1.1654193463         1.1659660425        
1.0150000000         0.5075062667         1.1711722116         1.3432655738        
1.0200000000         0.5100041667         1.1769366154         1.3654280152        
1.0250000000         0.5125070333         1.1827124808         1.0994787183        
1.0300000000         0.5150051000         1.1884772693         1.3211031324        
1.0350000000         0.5175067667         1.1942503654         1.2989406910        
1.0400000000         0.5200061333         1.2000181539         1.3211031324        
1.0450000000         0.5225063833         1.2057879808         1.2767782496        
1.0500000000         0.5250063833         1.2115572308         1.1438036011        
1.0550000000         0.5275070167         1.2173279424         1.0773162769        
1.0600000000         0.5300054167         1.2230935000         1.1438036011        
1.0650000000         0.5325121167         1.2288782116         1.1881284839        
1.0700000000         0.5350057500         1.2346327693         1.1659660425        
1.0750000000         0.5375053500         1.2404010962         0.9665040699        
1.0800000000         0.5400162000         1.2461953847         1.2546158082        
1.0850000000         0.5523901167         1.2747506722         1.3211031324        
1.0900000000         0.5595427500         1.2912568042         1.3432655738        
1.0950000000         0.5637945500         1.3010686830         1.2767782496        
1.1000000000         0.5707949167         1.3172234292         1.2546158082        
1.1050000000         0.5737535833         1.3240511443         1.3211031324        
1.1100000000         0.5756831000         1.3285038899         1.3211031324        
1.1150000000         0.5775603000         1.3328359043         1.3875904566        
1.1200000000         0.5794627500         1.3372261882         1.4984026636        
1.1250000000         0.5813732500         1.3416350490         1.4097528980        
1.1300000000         0.5832826500         1.3460413714         1.2546158082        
1.1350000000         0.5851608500         1.3503756935         1.3875904566        
1.1400000000         0.5870915500         1.3548311699         1.2989406910        
1.1450000000         0.5889559333         1.3591336074         1.1216411597        
1.1500000000         0.5908573833         1.3635215835         1.3432655738        
1.1550000000         0.5928155500         1.3680404447         1.1659660425        
1.1600000000         0.5947628333         1.3725341905         1.2546158082        
1.1650000000         0.5966989333         1.3770021285         1.2324533667        
1.1700000000         0.5986007333         1.3813909123         1.1881284840        
1.1750000000         0.6005034667         1.3857818500         1.5205651051        
1.1800000000         0.6023959500         1.3901491338         1.2546158082        
1.1850000000         0.6042975333         1.3945374177         1.4097528980        
1.1900000000         0.6062199500         1.3989737786         1.2767782496        
1.1950000000         0.6081492500         1.4034260242         1.2767782496        
1.2000000000         0.6100867667         1.4078972315         1.2767782496        
1.2050000000         0.6120142167         1.4123452078         1.2102909254        
1.2100000000         0.6139469667         1.4168054150         0.9886665113        
1.2150000000         0.6158895333         1.4212882761         1.2767782496        
1.2200000000         0.6178087833         1.4257173293         1.2324533667        
1.2250000000         0.6197114833         1.4301081901         1.1438036011        
1.2300000000         0.6216010000         1.4344686277         1.1659660426        
1.2350000000         0.6235054000         1.4388634116         1.2324533668        
1.2400000000         0.6254408833         1.4433299265         1.2324533668        
1.2450000000         0.6273757500         1.4477950183         1.2546158082        
1.2500000000         0.6350263333         1.4654502694         1.3211031324        
1.2550000000         0.6423115333         1.4822623254         1.3654280152        
1.2600000000         0.6442159500         1.4866571478         1.2989406910        
1.2650000000         0.6461752500         1.4911786244         1.3654280152        
1.2700000000         0.6480673500         1.4955450236         1.3875904566        
1.2750000000         0.6499565333         1.4999046920         1.2767782496        
1.2800000000         0.6518564833         1.5042892066         1.4540777808        
1.2850000000         0.6537349333         1.5086241057         1.2767782496        
1.2900000000         0.6556451833         1.5130323896         1.3432655738        
1.2950000000         0.6575392833         1.5174034042         1.2989406910        
1.3000000000         0.6594355333         1.5217793803         1.4097528980        
1.3050000000         0.6613793000         1.5262650106         1.3432655738        
1.3100000000         0.6632910333         1.5306767176         1.4762402223        
1.3150000000         0.6651877667         1.5350538092         1.3654280152        
1.3200000000         0.6670812333         1.5394233622         1.4097528980        
1.3250000000         0.6689488667         1.5437332996         1.6535397535        
1.3300000000         0.6708302500         1.5480749679         1.4984026636        
1.3350000000         0.6727093500         1.5524113670         1.4984026637        
1.3400000000         0.6746229000         1.5568272663         1.2989406910        
1.3450000000         0.6783754333         1.5654869875         1.5427275465        
1.3500000000         0.6802949500         1.5699166561         1.5205651051        
1.3550000000         0.6821881667         1.5742856322         1.5205651051        
1.3600000000         0.6840628000         1.5786117236         1.4319153394        
1.3650000000         0.6859568500         1.5829826227         1.3432655738        
1.3700000000         0.6878861333         1.5874348299         1.3875904566        
1.3750000000         0.6897753500         1.5917945752         1.4097528980        
1.3800000000         0.6920227833         1.5969809771         1.5427275465        
1.3850000000         0.6939433000         1.6014129534         1.6313773121        
1.3900000000         0.6958579167         1.6058313143         1.4762402222        
1.3950000000         0.6977470500         1.6101908673         1.6092148707        
1.4000000000         0.7000105500         1.6154143462         1.5648899879        
1.4050000000         0.7025386833         1.6212485195         1.5205651050        
1.4100000000         0.7050100167         1.6269516155         1.6757021949        
1.4150000000         0.7076804500         1.6331141744         1.6535397535        
1.4200000000         0.7100078500         1.6384851155         1.5427275465        
1.4250000000         0.7125093333         1.6442577885         1.5427275465        
1.4300000000         0.7150055667         1.6500183462         1.6535397535        
1.4350000000         0.7175058333         1.6557882116         1.4984026637        
1.4400000000         0.7200049167         1.6615553462         1.5205651050        
1.4450000000         0.7225046500         1.6673239808         1.5427275465        
1.4500000000         0.7250058667         1.6730960385         1.6978646363        
1.4550000000         0.7275046833         1.6788625577         1.6313773121        
1.4600000000         0.7300047833         1.6846320385         1.6535397535        
1.4650000000         0.7325085167         1.6904099039         1.5427275465        
1.4700000000         0.7350086167         1.6961793847         1.5205651051        
1.4750000000         0.7375039833         1.7019379423         1.5427275465        
1.4800000000         0.7400049833         1.7077095000         1.3432655738        
1.4850000000         0.7425486167         1.7135794427         1.4319153394        
1.4900000000         0.7450038833         1.7192454615         1.5648899879        
1.4950000000         0.7475429833         1.7251049426         1.4762402223        
1.5000000000         0.7500049167         1.7307863462         1.5205651050        
1.5050000000         0.7525067000         1.7365597116         1.6535397535        
1.5100000000         0.7550044667         1.7423238077         1.5870524293        
1.5150000000         0.7575043833         1.7480928654         1.5870524293        
1.5200000000         0.7600387833         1.7539415003         1.6757021949        
1.5250000000         0.7625046000         1.7596318654         1.6757021949        
1.5300000000         0.7650534667         1.7655138850         1.6757021949        
1.5350000000         0.7675045167         1.7711701731         1.6757021949        
1.5400000000         0.7700054000         1.7769414616         1.6313773121        
1.5450000000         0.7725081000         1.7827169424         1.7865144020        
1.5500000000         0.7750050833         1.7884792308         1.6092148707        
1.5550000000         0.7775118833         1.7942641732         1.7643519606        
1.5600000000         0.7800050833         1.8000177308         1.7200270778        
1.5650000000         0.7825062667         1.8057897116         1.7200270777        
1.5700000000         0.7850058167         1.8115579231         1.7421895192        
1.5750000000         0.7875086833         1.8173337885         1.6092148707        
1.5800000000         0.7900053333         1.8230953077         1.8308392848        
1.5850000000         0.7925055333         1.8288650193         1.7643519606        
1.5900000000         0.7950151333         1.8346564232         1.6092148707        
1.5950000000         0.7975044333         1.8404009808         1.6757021949        
1.6000000000         0.8000051833         1.8461719616         1.7865144020        
1.6050000000         0.8025080167         1.8519477501         1.6535397535        
1.6100000000         0.8050045333         1.8577089616         1.7421895191        
1.6150000000         0.8075315833         1.8635406349         1.8530017262        
1.6200000000         0.8100049000         1.8692483077         1.8530017262        
1.6250000000         0.8125045167         1.8750166731         1.6978646363        
1.6300000000         0.8150142833         1.8808084616         1.7643519606        
