Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega_out[deg/s]           Omega_target[deg/s]
        0.2450027000        15.3901739524         2.6919805698         1.3684672508         2.2276408281        44.7800032797        15.3901739524
        0.2500016000        15.7040267569         2.6957044777         1.3429439823         2.2225370732         6.6855725866        15.7040267569
        0.2550033000        16.0180456659         2.6994303566         1.3454963091         2.2301927056        10.4950156559        16.0180456659
        0.2600026000        16.3319040180         2.7031543304         1.3480486360         2.2250889506        14.3044587253        16.3319040180
        0.2650043000        16.6459029631         2.7068799723         1.3429439823         2.2225370732         6.6855725866        16.6459029631
        0.2700056000        16.9598665236         2.7106051945         1.3352870017         2.2174333183        -4.7427566213        16.9598665236
        0.2750029000        17.2735685240         2.7143273131         1.3429439823         2.2250889506         6.6855725866        17.2735685240
        0.2800015000        17.5873414835         2.7180502737         1.3429439823         2.2250889506         6.6855725866        17.5873414835
        0.2850026000        17.9012605220         2.7217749676         1.3378393285         2.2199851957        -0.9333135520        17.9012605220
        0.2900018000        18.2150492573         2.7254981154         1.3454963091         2.2250889506        10.4950156559        18.2150492573
        0.2950050000        18.5290778170         2.7292241087         1.3557056165         2.2327445830        25.7327879332        18.5290778170
        0.3000025000        18.8427371885         2.7329457216         1.3454963091         2.2276408281        10.4950156559        18.8427371885
        0.3050030000        19.1565732281         2.7366694307         1.3480486360         2.2225370732        14.3044587253        19.1565732281
        0.3100017000        19.4702844853         2.7403916592         1.3557056165         2.2327445830        25.7327879332        19.4702844853
        0.3150022000        19.7840966974         2.7441150855         1.3480486360         2.2250889506        14.3044587253        19.7840966974
        0.3200016000        20.0978276757         2.7467945371         1.3531532897         2.2404002154        21.9233448639        20.0978276757
        0.3250029000        20.4116654844         2.7471721501         1.3506009628         2.2327445830        18.1139017946        20.4116654844
        0.3300016000        20.7253275522         2.7475494493         1.3608102703         2.2429520929        33.3516740718        20.7253275522
        0.3350012000        21.0390333122         2.7479266990         1.3506009628         2.2378483379        18.1139017946        21.0390333122
        0.3400025000        21.3528327586         2.7483039593         1.3531532897         2.2378483379        21.9233448639        21.3528327586
        0.3450014000        21.6664684518         2.7486809209         1.3608102703         2.2455039703        33.3516740718        21.6664684518
        0.3500038000        21.9803103651         2.7490580287         1.3582579434         2.2378483379        29.5422310025        21.9803103651
        0.3550029000        22.2939316838         2.7494347700         1.3633625971         2.2455039703        37.1611171411        22.2939316838
        0.3600034000        22.6076270795         2.7498114990         1.3557056165         2.2455039703        25.7327879332        22.6076270795
        0.3650021000        22.9211956154         2.7501879747         1.3608102703         2.2480558478        33.3516740718        22.9211956154
        0.3700027000        23.2348691983         2.7505644756         1.3531532897         2.2429520929        21.9233448639        23.2348691983
        0.3750017000        23.5484280893         2.7509407382         1.3633625971         2.2608152351        37.1611171411        23.5484280893
        0.3800031000        23.8621229879         2.7513170635         1.3582579434         2.2531596027        29.5422310025        23.8621229879
        0.3850032000        24.1757216264         2.7516931730         1.3582579434         2.2531596027        29.5422310025        24.1757216264
        0.3900114000        24.4898133355         2.7520697735         1.3633625971         2.2582633576        37.1611171411        24.4898133355
