Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega_out[deg/s]           Omega_target[deg/s]
        1.3600015000        84.8029360739         2.8227377098         1.4093044805         3.3326037679       105.7310923886        84.8029360739
        1.3650022000        85.1099706820         2.8230901363         1.4144091342         3.3402594002       113.3499785272        85.1099706820
        1.3700016000        85.4168729780         2.8234423474         1.4067521537         3.3479150326       101.9216493193        85.4168729780
        1.3750020000        85.7237839694         2.8237945052         1.4220661148         3.3606744199       124.7783077352        85.7237839694
        1.3800014000        86.0305807125         2.8241464689         1.4220661148         3.3708819297       124.7783077352        86.0305807125
        1.3850045000        86.3375513979         2.8244985691         1.4169614611         3.3734338072       117.1594215965        86.3375513979
        1.3900021000        86.6441313891         2.8248501585         1.4195137880         3.3861931945       120.9688646658        86.6441313891
        1.3950038000        86.9509094364         2.8252019125         1.4424847297         3.3964007043       155.2538522896        86.9509094364
        1.4000048000        87.2575908877         2.8255534933         1.4271707685         3.4091600916       132.3971938738        87.2575908877
        1.4050022000        87.5639977846         2.8259046972         1.4297230954         3.4193676015       136.2066369431        87.5639977846
        1.4100016000        87.8704733177         2.8262559179         1.4195137880         3.4142638465       120.9688646658        87.8704733177
        1.4150017000        88.1769375620         2.8266070637         1.4195137880         3.4219194789       120.9688646658        88.1769375620
        1.4200016000        88.4833351564         2.8269580716         1.4195137880         3.4397826211       120.9688646658        88.4833351564
        1.4250013000        88.7896659194         2.8273089414         1.4246184417         3.4397826211       128.5877508045        88.7896659194
        1.4300021000        89.0960092971         2.8276597644         1.4246184417         3.4550938859       128.5877508045        89.0960092971
        1.4350014000        89.4022058355         2.8280103581         1.4169614611         3.4576457633       117.1594215965        89.4022058355
        1.4400029000        89.7084819500         2.8283609820         1.4169614611         3.4678532732       117.1594215965        89.7084819500
        1.4450017000        90.0145374008         2.8287112925         1.4373800759         3.4882682929       147.6349661510        90.0145374008
        1.4500027000        90.3206720119         2.8290616331         1.4169614611         3.4857164154       117.1594215965        90.3206720119
        1.4550017000        90.6266284907         2.8294117094         1.4348277491         3.5061314351       143.8255230817        90.6266284907
        1.4600018000        90.9325963944         2.8297617386         1.4246184417         3.5137870674       128.5877508045        90.9325963944
        1.4650015000        91.2384837335         2.8301116156         1.4322754222         3.5163389449       140.0160800124        91.2384837335
        1.4700026000        91.5444004298         2.8304614663         1.4246184417         3.5239945773       128.5877508045        91.5444004298
        1.4750016000        91.8501322101         2.8308110459         1.4348277491         3.5393058420       143.8255230817        91.8501322101
        1.4800027000        92.1559357525         2.8311606480         1.4271707685         3.5393058420       132.3971938738        92.1559357525
        1.4850020000        92.4615723891         2.8315100000         1.4246184417         3.5520652293       128.5877508045        92.4615723891
        1.4900022000        92.7672070141         2.8318592905         1.4246184417         3.5571689842       128.5877508045        92.7672070141
        1.4950015000        93.0727294144         2.8322083939         1.4297230954         3.5673764941       136.2066369431        93.0727294144
        1.5000021000        93.3782738430         2.8325574636         1.4246184417         3.5724802490       128.5877508045        93.3782738430
        1.5050015000        93.6836873568         2.8329063252         1.4373800759         3.5852396363       147.6349661510        93.6836873568
        1.5100022000        93.9891224896         2.8332551530         1.4399324028         3.6005509010       151.4444092203        93.9891224896
        1.5150016000        94.2944202501         2.8336037657         1.4220661148         3.5979990236       124.7783077352        94.2944202501
        1.5200022000        94.5997331182         2.8339523375         1.4246184417         3.6107584109       128.5877508045        94.5997331182
        1.5250016000        94.9049143728         2.8343007012         1.4246184417         3.6209659207       128.5877508045        94.9049143728
        1.5300051000        95.2102873057         2.8346492259         1.4271707685         3.6235177982       132.3971938738        95.2102873057
        1.5350016000        95.5151743266         2.8349971386         1.4220661148         3.6388290629       124.7783077352        95.5151743266
        1.5400038000        95.8203502254         2.8353453235         1.4144091342         3.6490365728       113.3499785272        95.8203502254
        1.5450023000        96.1252413004         2.8356931262         1.4271707685         3.6566922051       132.3971938738        96.1252413004
        1.5500045000        96.4302987371         2.8360410617         1.4220661148         3.6566922051       124.7783077352        96.4302987371
        1.5550021000        96.7350161909         2.8363885527         1.4195137880         3.6720034699       120.9688646658        96.7350161909
        1.5600021000        97.0398203232         2.8367360858         1.4373800759         3.6847628572       147.6349661510        97.0398203232
        1.5650015000        97.3445280302         2.8370834525         1.4322754222         3.6924184896       140.0160800124        97.3445280302
        1.5700026000        97.6492792870         2.8374308125         1.4246184417         3.7000741219       128.5877508045        97.6492792870
        1.5750024000        97.9538910879         2.8377779575         1.4246184417         3.7077297543       128.5877508045        97.9538910879
        1.5800028000        98.2584790153         2.8381250192         1.4373800759         3.7255928965       147.6349661510        98.2584790153
        1.5850040000        98.5630550374         2.8384720116         1.4526940371         3.7332485289       170.4916245668        98.5630550374
        1.5900027000        98.8674180259         2.8388187057         1.4297230954         3.7358004064       136.2066369431        98.8674180259
        1.5950033000        99.1718357132         2.8391654067         1.4271707685         3.7434560388       132.3971938738        99.1718357132
        1.6000026000        99.4761130959         2.8395118927         1.4322754222         3.7562154260       140.0160800124        99.4761130959
        1.6050075000        99.7806698695         2.8398586416         1.4297230954         3.7638710584       136.2066369431        99.7806698695
        1.6100032000       100.0846053069         2.8402046283         1.4220661148         3.7689748133       124.7783077352       100.0846053069
        1.6150048000       100.3888379567         2.8405508986         1.4297230954         3.7893898330       136.2066369431       100.3888379567
        1.6200025000       100.6927714885         2.8408967739         1.4246184417         3.7893898330       128.5877508045       100.6927714885
        1.6250052000       100.9969469449         2.8412428701         1.4246184417         3.7944935879       128.5877508045       100.9969469449
        1.6300035000       101.3007925869         2.8415885368         1.4271707685         3.8072529752       132.3971938738       101.3007925869
        1.6350049000       101.6047641742         2.8419342928         1.4271707685         3.8149086076       132.3971938738       101.6047641742
        1.6400035000       101.9085029276         2.8422797301         1.4297230954         3.8302198724       136.2066369431       101.9085029276
        1.6450042000       102.2123064206         2.8426251873         1.4297230954         3.8327717498       136.2066369431       102.2123064206
        1.6500040000       102.5159921859         2.8429704572         1.4220661148         3.8429792597       124.7783077352       102.5159921859
        1.6550059000       102.8197422323         2.8433157467         1.4271707685         3.8531867695       132.3971938738       102.8197422323
        1.6600040000       103.1231981168         2.8436606488         1.4220661148         3.8582905244       124.7783077352       103.1231981168
        1.6650049000       103.4267603842         2.8440056188         1.4220661148         3.8608424019       124.7783077352       103.4267603842
        1.6700033000       103.7301071236         2.8443502910         1.4195137880         3.8787055441       120.9688646658       103.7301071236
        1.6750282000       104.0349976616         2.8446966644         1.4322754222         3.8940168088       140.0160800124       104.0349976616
        1.6800039000       104.3368390766         2.8450395215         1.4399324028         3.9016724412       151.4444092203       104.3368390766
        1.6850056000       104.6401934965         2.8453840451         1.4322754222         3.9093280736       140.0160800124       104.6401934965
        1.6900037000       104.9432650534         2.8457281953         1.4220661148         3.9093280736       124.7783077352       104.9432650534
        1.6950035000       105.2463749756         2.8460723371         1.4373800759         3.9271912158       147.6349661510       105.2463749756
        1.7000048000       105.5495108893         2.8464164567         1.4246184417         3.9297430933       128.5877508045       105.5495108893
        1.7050076000       105.8526725489         2.8467605538         1.4348277491         3.9450543580       143.8255230817       105.8526725489
        1.7100036000       106.1553569041         2.8471040578         1.4246184417         3.9476062355       128.5877508045       106.1553569041
        1.7150031000       106.4581878620         2.8474476769         1.4195137880         3.9476062355       120.9688646658       106.4581878620
        1.7200026000       106.7609531647         2.8477911704         1.4271707685         3.9654693777       132.3971938738       106.7609531647
        1.7250019000       107.0636405166         2.8481345247         1.4297230954         3.9756768875       136.2066369431       107.0636405166
        1.7300014000       107.3662739501         2.8484777670         1.4271707685         3.9833325199       132.3971938738       107.3662739501
        1.7350032000       107.6689803476         2.8488210415         1.4297230954         3.9935400297       136.2066369431       107.6689803476
        1.7400016000       107.9714145829         2.8491639569         1.4322754222         4.0011956621       140.0160800124       107.9714145829
        1.7450025000       108.2739334749         2.8495069181         1.4348277491         4.0165069269       143.8255230817       108.2739334749
        1.7500014000       108.5762646076         2.8498496164         1.4246184417         4.0139550494       128.5877508045       108.5762646076
        1.7550031000       108.8786980816         2.8501923808         1.4322754222         4.0292663142       140.0160800124       108.8786980816
        1.7600020000       109.1808950987         2.8505348276         1.4348277491         4.0471294564       143.8255230817       109.1808950987
        1.7650021000       109.4830973160         2.8508772306         1.4424847297         4.0471294564       155.2538522896       109.4830973160
        1.7700014000       109.7851836613         2.8512194530         1.4297230954         4.0624407211       136.2066369431       109.7851836613
        1.7750026000       110.0873170750         2.8515616795         1.4297230954         4.0675444760       136.2066369431       110.0873170750
        1.7800016000       110.3892496862         2.8519036296         1.4322754222         4.0777519859       140.0160800124       110.3892496862
        1.7850026000       110.6912349872         2.8522455904         1.4195137880         4.0879594957       120.9688646658       110.6912349872
        1.7900016000       110.9930312526         2.8525872885         1.4297230954         4.0956151281       136.2066369431       110.9930312526
        1.7950013000       111.2948013243         2.8529289084         1.4169614611         4.1058226379       117.1594215965       111.2948013243
        1.8000025000       111.5965932577         2.8532705047         1.4246184417         4.1134782703       128.5877508045       111.5965932577
        1.8050015000       111.8981836089         2.8536118247         1.4246184417         4.1185820252       128.5877508045       111.8981836089
        1.8100026000       112.1998316126         2.8539531618         1.4246184417         4.1262376576       128.5877508045       112.1998316126
        1.8150014000       112.5012716960         2.8542942159         1.4220661148         4.1364451674       124.7783077352       112.5012716960
        1.8200024000       112.8027750358         2.8546352938         1.4271707685         4.1466526773       132.3971938738       112.8027750358
        1.8250015000       113.1040942561         2.8549761160         1.4322754222         4.1619639420       140.0160800124       113.1040942561
        1.8300022000       113.4054401400         2.8553169209         1.4246184417         4.1594120646       128.5877508045       113.4054401400
        1.8350014000       113.7066256903         2.8556574974         1.4271707685         4.1747233293       132.3971938738       113.7066256903
        1.8400029000       114.0078796423         2.8559981042         1.4246184417         4.1772752068       128.5877508045       114.0078796423
        1.8450016000       114.3088946337         2.8563383940         1.4399324028         4.1976902265       151.4444092203       114.3088946337
        1.8500030000       114.6100016835         2.8566787412         1.4322754222         4.2002421039       140.0160800124       114.6100016835
        1.8550016000       114.9108694826         2.8570187714         1.4297230954         4.2181052461       136.2066369431       114.9108694826
        1.8600041000       115.2119010991         2.8573589405         1.4322754222         4.2206571236       140.0160800124       115.2119010991
        1.8650020000       115.5125848632         2.8576986703         1.4271707685         4.2232090010       132.3971938738       115.5125848632
        1.8700038000       115.8134319812         2.8580385387         1.4246184417         4.2308646334       128.5877508045       115.8134319812
        1.8750026000       116.1140272302         2.8583780767         1.4322754222         4.2487277756       140.0160800124       116.1140272302
        1.8800018000       116.4145749325         2.8587175153         1.4297230954         4.2589352855       136.2066369431       116.4145749325
        1.8850014000       116.7150748868         2.8590568546         1.4271707685         4.2665909178       132.3971938738       116.7150748868
        1.8900027000       117.0156049983         2.8593961825         1.4297230954         4.2844540601       136.2066369431       117.0156049983
        1.8950015000       117.3159127190         2.8597352142         1.4373800759         4.2870059375       147.6349661510       117.3159127190
        1.9000023000       117.6162682173         2.8600742549         1.4348277491         4.2972134474       143.8255230817       117.6162682173
        1.9050015000       117.9164550770         2.8604130603         1.4246184417         4.2997653248       128.5877508045       117.9164550770
        1.9100025000       118.2166772679         2.8607518610         1.4399324028         4.3227322219       151.4444092203       118.2166772679
        1.9150016000       118.5167124884         2.8610904061         1.4348277491         4.3227322219       143.8255230817       118.5167124884
        1.9200025000       118.8167826200         2.8614289463         1.4246184417         4.3354916092       128.5877508045       118.8167826200
        1.9250016000       119.1166714672         2.8617672379         1.4348277491         4.3431472416       143.8255230817       119.1166714672
        1.9300028000       119.4166127937         2.8621055446         1.4246184417         4.3482509965       128.5877508045       119.4166127937
        1.9350027000       119.7164024850         2.8624436364         1.4271707685         4.3686660162       132.3971938738       119.7164024850
        1.9400026000       120.0161183322         2.8627816013         1.4297230954         4.3712178937       136.2066369431       120.0161183322
        1.9450025000       120.3157601507         2.8631194392         1.4373800759         4.3890810359       147.6349661510       120.3157601507
        1.9500033000       120.6153816712         2.8634572109         1.4271707685         4.3941847908       132.3971938738       120.6153816712
        1.9550028000       120.9148509070         2.8637947677         1.4271707685         4.3941847908       132.3971938738       120.9148509070
        1.9600024000       121.2142515588         2.8641322042         1.4348277491         4.4171516879       143.8255230817       121.2142515588
        1.9650029000       121.5136313277         2.8644695743         1.4348277491         4.4273591978       143.8255230817       121.5136313277
        1.9700032000       121.8129241562         2.8648068038         1.4399324028         4.4273591978       151.4444092203       121.8129241562
        1.9750031000       122.1121179025         2.8651438791         1.4450370565         4.4452223400       159.0632953589       122.1121179025
        1.9800165000       122.4120438610         2.8654817367         1.4271707685         4.4452223400       132.3971938738       122.4120438610
        1.9850054000       122.7104287507         2.8658178163         1.4348277491         4.4605336047       143.8255230817       122.7104287507
        1.9900268000       123.0106813613         2.8661559573         1.4322754222         4.4681892371       140.0160800124       123.0106813613
        1.9950033000       123.3081736877         2.8664909481         1.4271707685         4.4732929920       132.3971938738       123.3081736877
        2.0000021000       123.6069232384         2.8668273129         1.4373800759         4.4886042568       147.6349661510       123.6069232384
        2.0050109000       123.9061939926         2.8671642230         1.4424847297         4.4988117666       155.2538522896       123.9061939926
        2.0100026000       124.2043667312         2.8674998556         1.4424847297         4.5166749088       155.2538522896       124.2043667312
        2.0150054000       124.5031258968         2.8678361071         1.4373800759         4.5166749088       147.6349661510       124.5031258968
        2.0200025000       124.8014679131         2.8681718480         1.4348277491         4.5243305412       143.8255230817       124.8014679131
        2.0250040000       125.0999956271         2.8685077571         1.4322754222         4.5498493158       140.0160800124       125.0999956271
        2.0300035000       125.3983267976         2.8688434042         1.4450370565         4.5600568256       159.0632953589       125.3983267976
        2.0350030000       125.6965806321         2.8691789238         1.4424847297         4.5677124580       155.2538522896       125.6965806321
        2.0400022000       125.9947390553         2.8695142956         1.4399324028         4.5651605806       151.4444092203       125.9947390553
        2.0450063000       126.2931119117         2.8698498684         1.4297230954         4.5804718453       136.2066369431       126.2931119117
        2.0500030000       126.5909656790         2.8701848173         1.4424847297         4.5957831101       155.2538522896       126.5909656790
        2.0550028000       126.8889261809         2.8705198462         1.4373800759         4.6110943748       147.6349661510       126.8889261809
        2.0600016000       127.1867488460         2.8708546805         1.4629033445         4.6110943748       185.7293968441       127.1867488460
        2.0650050000       127.4847670485         2.8711896950         1.4450370565         4.6289575170       159.0632953589       127.4847670485
        2.0700016000       127.7823016360         2.8715241264         1.4399324028         4.6366131494       151.4444092203       127.7823016360
        2.0750029000       128.0800372696         2.8718587445         1.4424847297         4.6493725367       155.2538522896       128.0800372696
        2.0800034000       128.3776462497         2.8721931811         1.4450370565         4.6595800465       159.0632953589       128.3776462497
        2.0850039000       128.6751760242         2.8725274897         1.4348277491         4.6697875564       143.8255230817       128.6751760242
        2.0900027000       128.9725252996         2.8728615567         1.4475893834         4.6876506986       162.8727384282       128.9725252996
        2.0950042000       129.2699555997         2.8731956761         1.4475893834         4.6978582084       162.8727384282       129.2699555997
        2.1000022000       129.5670980563         2.8735294337         1.4373800759         4.7004100859       147.6349661510       129.5670980563
        2.1050020000       129.8642676247         2.8738631835         1.4450370565         4.7106175957       159.0632953589       129.8642676247
        2.1100015000       130.1613392687         2.8741967851         1.4705603251         4.7208251056       197.1577260520       130.1613392687
        2.1150029000       130.4584434916         2.8745303852         1.4373800759         4.7259288605       147.6349661510       130.4584434916
        2.1200015000       130.7553009318         2.8748636704         1.4526940371         4.7488957576       170.4916245668       130.7553009318
        2.1250025000       131.0522202343         2.8751969874         1.4501417102         4.7591032674       166.6821814975       131.0522202343
        2.1300027000       131.3490111863         2.8755301228         1.4322754222         4.7642070224       140.0160800124       131.3490111863
        2.1350032000       131.6457389090         2.8758631498         1.4424847297         4.7795182871       155.2538522896       131.6457389090
        2.1400016000       131.9422608478         2.8761959086         1.4526940371         4.7795182871       170.4916245668       131.9422608478
        2.1450019000       132.2388141177         2.8765286656         1.4399324028         4.7973814293       151.4444092203       132.2388141177
        2.1500015000       132.5352443087         2.8768612475         1.4577986908         4.8126926941       178.1105107055       132.5352443087
        2.1550027000       132.8316875842         2.8771938074         1.4348277491         4.8152445715       143.8255230817       132.8316875842
        2.1600016000       133.1279126083         2.8775260858         1.4424847297         4.8280039588       155.2538522896       133.1279126083
        2.1650023000       133.4241621692         2.8778583554         1.4424847297         4.8382114687       155.2538522896       133.4241621692
        2.1700015000       133.7202405788         2.8781903967         1.4399324028         4.8560746109       151.4444092203       133.7202405788
        2.1750024000       134.0163371701         2.8785224223         1.4475893834         4.8662821207       162.8727384282       134.0163371701
        2.1800018000       134.3122622880         2.8788542196         1.4373800759         4.8764896306       147.6349661510       134.3122622880
        2.1850062000       134.6084004108         2.8791862199         1.4424847297         4.8918008953       155.2538522896       134.6084004108
        2.1900028000       134.9039939800         2.8795175741         1.4577986908         4.9045602826       178.1105107055       134.9039939800
        2.1950051000       135.1998415099         2.8798491775         1.4450370565         4.9198715474       159.0632953589       135.1998415099
        2.2000026000       135.4953218026         2.8801803340         1.4450370565         4.9249753023       159.0632953589       135.4953218026
        2.2050024000       135.7908545298         2.8805115140         1.4552463639         4.9402865670       174.3010676362       135.7908545298
        2.2100014000       136.0862562338         2.8808425122         1.4475893834         4.9530459543       162.8727384282       136.0862562338
        2.2150034000       136.3817512274         2.8811735800         1.4577986908         4.9581497092       178.1105107055       136.3817512274
        2.2200024000       136.6769848766         2.8815043203         1.4450370565         4.9709090965       159.0632953589       136.6769848766
        2.2250065000       136.9724353197         2.8818352689         1.4450370565         4.9811166064       159.0632953589       136.9724353197
        2.2300014000       137.2672581823         2.8821654802         1.4501417102         4.9913241162       166.6821814975       137.2672581823
        2.2350014000       137.5622974412         2.8824958995         1.4399324028         4.9964278711       151.4444092203       137.5622974412
        2.2400026000       137.8573226235         2.8828262690         1.4475893834         5.0040835035       162.8727384282       137.8573226235
        2.2450139000       138.1528582780         2.8831571761         1.4526940371         5.0066353810       170.4916245668       138.1528582780
        2.2500042000       138.4470704136         2.8834865675         1.4450370565         5.0040835035       159.0632953589       138.4470704136
        2.2550045000       138.7417867911         2.8838164898         1.4450370565         5.0040835035       159.0632953589       138.7417867911
        2.2600033000       139.0363292046         2.8841461840         1.4577986908         5.0117391359       178.1105107055       139.0363292046
        2.2650019000       139.3307741151         2.8844757356         1.4475893834         5.0015316260       162.8727384282       139.3307741151
        2.2700025000       139.6252508866         2.8848052898         1.4450370565         5.0040835035       159.0632953589       139.6252508866
        2.2750016000       139.9195532167         2.8851346157         1.4577986908         5.0091872584       178.1105107055       139.9195532167
        2.2800016000       140.2138222286         2.8854638714         1.4450370565         4.9964278711       159.0632953589       140.2138222286
        2.2850014000       140.5079929838         2.8857929845         1.4475893834         4.9989797486       162.8727384282       140.5079929838
        2.2900028000       140.8021711702         2.8861220734         1.4526940371         5.0015316260       170.4916245668       140.8021711702
        2.2950016000       141.0961095930         2.8864508616         1.4475893834         1.1150222560       162.8727384282       141.0961095930
        2.3000024000       141.3900785731         2.8867796517         1.4552463639         1.1124703785       174.3010676362       141.3900785731
        2.3050017000       141.6838721717         2.8871082135         1.4629033445         1.1150222560       185.7293968441       141.6838721717
        2.3100021000       141.9776430116         2.8874367180         1.4629033445         1.1099185011       185.7293968441       141.9776430116
        2.3150016000       142.2712734077         2.8877650336         1.4501417102         1.0895034814       166.6821814975       142.2712734077
        2.3200025000       142.5648982492         2.8880933113         1.4501417102        -0.0027000711       166.6821814975       142.5648982492
        2.3250016000       142.8583294790         2.8884213410         1.4552463639         0.0024036839       174.3010676362       142.8583294790
        2.3300024000       143.1517723587         2.8887493524         1.4552463639         0.0024036839       174.3010676362       143.1517723587
        2.3350015000       143.4450271970         2.8890771224         1.4424847297        -0.0052519485       155.2538522896       143.4450271970
        2.3400024000       143.7382991256         2.8894048805         1.4552463639        -0.0052519485       174.3010676362       143.7382991256
        2.3450020000       144.0314061554         2.8897324233         1.4526940371        -0.0001481936       170.4916245668       144.0314061554
        2.3500022000       144.3244595134         2.8900598754         1.4552463639         0.0075074388       174.3010676362       144.3244595134
        2.3550017000       144.6173828303         2.8903871516         1.4603510177         0.0024036839       181.9199537748       144.6173828303
        2.3600032000       144.9103340855         2.8907144285         1.4526940371         0.0100593162       170.4916245668       144.9103340855
        2.3650017000       145.2030202612         2.8910413790         1.4603510177         0.0024036839       181.9199537748       145.2030202612
        2.3700033000       145.4957983591         2.8913684021         1.4629033445         0.0049555613       185.7293968441       145.4957983591
        2.3750026000       145.7883520775         2.8916951444         1.4654556714         0.0253705810       189.5388399134       145.7883520775
        2.3800392000       146.0829976381         2.8920241929         1.4577986908         0.0253705810       178.1105107055       146.0829976381
        2.3850023000       146.3732539414         2.8923483102         1.4552463639         0.0508893556       174.3010676362       146.3732539414
        2.3900029000       146.6656133782         2.8926747464         1.4731126519         0.0585449879       200.9671691213       146.6656133782
        2.3950026000       146.9578297282         2.8930009935         1.4552463639         0.0662006203       174.3010676362       146.9578297282
        2.4000015000       147.2499087030         2.8933270579         1.4680079982         0.0866156400       193.3482829827       147.2499087030
        2.4050063000       147.5422414545         2.8936533765         1.4654556714         0.0993750273       189.5388399134       147.5422414545
        2.4100021000       147.8339575716         2.8939789778         1.4603510177         0.1070306597       181.9199537748       147.8339575716
        2.4150029000       148.1258744742         2.8943047744         1.4731126519         0.1274456793       200.9671691213       148.1258744742
        2.4200014000       148.4175657797         2.8946302905         1.4629033445         0.1274456793       185.7293968441       148.4175657797
        2.4250025000       148.7093172418         2.8949558452         1.4680079982         0.1555163314       193.3482829827       148.7093172418
        2.4300015000       149.0008544819         2.8952811325         1.4603510177         0.1580682088       181.9199537748       149.0008544819
        2.4350029000       149.2924397469         2.8956064451         1.4603510177         0.1682757187       181.9199537748       149.2924397469
        2.4400015000       149.5837697045         2.8959314448         1.4705603251         0.1861388609       197.1577260520       149.5837697045
        2.4450021000       149.8751239520         2.8962564437         1.4577986908         0.1988982482       178.1105107055       149.8751239520
        2.4500016000       150.1663216673         2.8965812401         1.4654556714         0.2142095129       189.5388399134       150.1663216673
        2.4550028000       150.4575257412         2.8969060159         1.4603510177         0.2218651453       181.9199537748       150.4575257412
        2.4600023000       150.7485380222         2.8972305503         1.4654556714         0.2448320425       189.5388399134       150.7485380222
        2.4650025000       151.0394980586         2.8975549991         1.4960835936         0.2575914298       235.2521567451       151.0394980586
        2.4700019000       151.3303183899         2.8978792649         1.4577986908         0.2601433072       178.1105107055       151.3303183899
        2.4750017000       151.6210686522         2.8982034254         1.4629033445         0.2729026945       185.7293968441       151.6210686522
        2.4800018000       151.9117428321         2.8985274742         1.4577986908         0.2907658367       178.1105107055       151.9117428321
        2.4850023000       152.2023465436         2.8988514177         1.4603510177         0.3009733466       181.9199537748       152.2023465436
        2.4900016000       152.4927866459         2.8991751521         1.4680079982         0.3188364888       193.3482829827       152.4927866459
        2.4950019000       152.7831907778         2.8994988199         1.4756649788         0.3315958761       204.7766121906       152.7831907778
        2.5000015000       153.0734600194         2.8998223110         1.4756649788         0.3520108957       204.7766121906       153.0734600194
        2.5050015000       153.3636580647         2.9001456965         1.4705603251         0.3520108957       197.1577260520       153.3636580647
        2.5100014000       153.6537557064         2.9004689441         1.4654556714         0.3724259154       189.5388399134       153.6537557064
        2.5150022000       153.9438107636         2.9007921183         1.4654556714         0.3800815478       189.5388399134       153.9438107636
        2.5200015000       154.2336838701         2.9011150640         1.4705603251         0.4004965675       197.1577260520       154.2336838701
        2.5250021000       154.5235372050         2.9014379619         1.4680079982         0.4132559548       193.3482829827       154.5235372050
        2.5300016000       154.8132314708         2.9017606572         1.4782173056         0.4260153420       208.5860552599       154.8132314708
        2.5350023000       155.1028997577         2.9020832982         1.4680079982         0.4387747293       193.3482829827       155.1028997577
        2.5400015000       155.3923854975         2.9024057106         1.4731126519         0.4540859941       200.9671691213       155.3923854975
        2.5450021000       155.6818564430         2.9027280815         1.4680079982         0.4642935039       193.3482829827       155.6818564430
        2.5500015000       155.9711619027         2.9030502431         1.4807696325         0.4847085236       212.3954983292       155.9711619027
        2.5550027000       156.2604752851         2.9033723887         1.4858742862         0.5025716658       220.0143844678       156.2604752851
        2.5600024000       156.5496055019         2.9036943057         1.4629033445         0.5025716658       185.7293968441       156.5496055019
        2.5650023000       156.8386507234         2.9040161036         1.4654556714         0.5153310531       189.5388399134       156.8386507234
        2.5700014000       157.1275529775         2.9043377179         1.4756649788         0.5408498277       204.7766121906       157.1275529775
        2.5750021000       157.4164507615         2.9046593030         1.4833219594         0.5536092150       216.2049413985       157.4164507615
        2.5800015000       157.7051763504         2.9049806724         1.4807696325         0.5663686023       212.3954983292       157.7051763504
        2.5850025000       157.9938970391         2.9053020123         1.4577986908         0.5740242347       178.1105107055       157.9938970391
        2.5900015000       158.2824048228         2.9056230914         1.4629033445         0.5816798670       185.7293968441       158.2824048228
        2.5950019000       158.5708957673         2.9059441281         1.4705603251         0.6020948867       197.1577260520       158.5708957673
        2.6000013000       158.8592312170         2.9062649683         1.4731126519         0.6148542740       200.9671691213       158.8592312170
        2.6050081000       159.1478952680         2.9065861506         1.4680079982         0.6250617838       193.3482829827       159.1478952680
        2.6100026000       159.4357520950         2.9069064116         1.4833219594         0.6531324359       216.2049413985       159.4357520950
        2.6150014000       159.7237584923         2.9072268158         1.4756649788         0.6582361908       204.7766121906       159.7237584923
        2.6200025000       160.0117988586         2.9075472349         1.4756649788         0.6735474556       204.7766121906       160.0117988586
        2.6250013000       160.2996080763         2.9078673739         1.4705603251         0.6888587203       197.1577260520       160.2996080763
        2.6300034000       160.5875083626         2.9081875915         1.4807696325         0.7016181076       212.3954983292       160.5875083626
        2.6350024000       160.8751311766         2.9085074780         1.4858742862         0.7194812498       220.0143844678       160.8751311766
        2.6400028000       161.1627353028         2.9088273212         1.4858742862         0.7271368822       220.0143844678       161.1627353028
        2.6450014000       161.4501365243         2.9091469165         1.4680079982         0.7373443920       193.3482829827       161.4501365243
        2.6500027000       161.7375933706         2.9094665515         1.4782173056         0.7577594117       208.5860552599       161.7375933706
        2.6550016000       162.0248125257         2.9097859001         1.4833219594         0.7756225539       216.2049413985       162.0248125257
        2.6600036000       162.3121098014         2.9101053137         1.4731126519         0.7832781863       200.9671691213       162.3121098014
        2.6650022000       162.5991116931         2.9104243772         1.4731126519         0.7909338187       200.9671691213       162.5991116931
        2.6700019000       162.8860764668         2.9107433777         1.4756649788         0.8113488384       204.7766121906       162.8860764668
        2.6750024000       163.1729866691         2.9110622962         1.4833219594         0.8317638580       216.2049413985       163.1729866691
        2.6800038000       163.4598478091         2.9113811387         1.4756649788         0.8394194904       204.7766121906       163.4598478091
        2.6850028000       163.7464704809         2.9116996950         1.4782173056         0.8521788777       208.5860552599       163.7464704809
        2.6900024000       164.0330265692         2.9120181562         1.4680079982         0.8598345101       193.3482829827       164.0330265692
        2.6950017000       164.3194643043         2.9123364649         1.4833219594         0.8853532847       216.2049413985       164.3194643043
        2.7000021000       164.6058636988         2.9126547102         1.4731126519         0.8981126720       200.9671691213       164.6058636988
        2.7050016000       164.8921100195         2.9129727647         1.4782173056         0.9083201818       208.5860552599       164.8921100195
        2.7100015000       165.1782775365         2.9132907112         1.4833219594         0.9210795691       216.2049413985       165.1782775365
        2.7150014000       165.4643431678         2.9136085240         1.4756649788         0.9338389564       204.7766121906       165.4643431678
        2.7200017000       165.7503296094         2.9139262286         1.4833219594         0.9465983437       216.2049413985       165.7503296094
        2.7250014000       166.0361794976         2.9142437614         1.4782173056         0.9619096084       208.5860552599       166.0361794976
        2.7300020000       166.3219784075         2.9145612175         1.4833219594         0.9823246281       216.2049413985       166.3219784075
        2.7350018000       166.6076289994         2.9148784890         1.4833219594         0.9950840154       216.2049413985       166.6076289994
        2.7400025000       166.8932282181         2.9151956837         1.4833219594         1.0103952802       216.2049413985       166.8932282181
        2.7450017000       167.1786388390         2.9155126494         1.4603510177         1.0129471576       181.9199537748       167.1786388390
