% Step Response  Vcmd=+2.0000V  Vc=3.342344V
% Vg_offset=1.337252V  K_gimbal=26.049690  K_lin=4.959600
% omega_target=9.919200 rad/s  settle=2.0s  record=5.0s  samples=1001

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.2104448000         2.0000000000         3.3423440552         1.6466708782         4.3941847908         8.0602583160         9.9192000000
        0.2153985000         2.0000000000         3.3423440552         1.6262522633         4.4145998105         7.5283597222         9.9192000000
        0.2204178000         2.0000000000         3.3423440552         1.6364615707         4.4452223400         7.7943090191         9.9192000000
        0.2253939000         2.0000000000         3.3423440552         1.6645371662         4.4911561342         8.5256695856         9.9192000000
        0.2304280000         2.0000000000         3.3423440552         1.6390138976         4.5166749088         7.8607963433         9.9192000000
        0.2354962000         2.0000000000         3.3423440552         1.6466708782         4.5447455609         8.0602583160         9.9192000000
        0.2404201000         2.0000000000         3.3423440552         1.6492232050         4.5779199678         8.1267456402         9.9192000000
        0.2454099000         2.0000000000         3.3423440552         1.6543278587         4.6238537621         8.2597202887         9.9192000000
        0.2504200000         2.0000000000         3.3423440552         1.6568801856         4.6519244142         8.3262076129         9.9192000000
        0.2554787000         2.0000000000         3.3423440552         1.6594325125         4.6876506986         8.3926949371         9.9192000000
        0.2604153000         2.0000000000         3.3423440552         1.6696418199         4.7208251056         8.6586442340         9.9192000000
        0.2654323000         2.0000000000         3.3423440552         1.6543278587         4.7437920027         8.2597202887         9.9192000000
        0.2704225000         2.0000000000         3.3423440552         1.6594325125         4.7871739195         8.3926949371         9.9192000000
        0.2754091000         2.0000000000         3.3423440552         1.6645371662         4.8101408166         8.5256695856         9.9192000000
        0.2804193000         2.0000000000         3.3423440552         1.6619848393         4.8484189785         8.4591822614         9.9192000000
        0.2854172000         2.0000000000         3.3423440552         1.6619848393         4.8866971404         8.4591822614         9.9192000000
        0.2903911000         2.0000000000         3.3423440552         1.6696418199         4.9224234248         8.6586442340         9.9192000000
        0.2954674000         2.0000000000         3.3423440552         1.6721941467         4.9555978318         8.7251315583         9.9192000000
        0.3004502000         2.0000000000         3.3423440552         1.6798511273         4.9964278711         8.9245935309         9.9192000000
        0.3053983000         2.0000000000         3.3423440552         1.6619848393         5.0066353810         8.4591822614         9.9192000000
        0.3104303000         2.0000000000         3.3423440552         1.6670894930         5.0015316260         8.5921569098         9.9192000000
        0.3154649000         2.0000000000         3.3423440552         1.6772988005         5.0066353810         8.8581062067         9.9192000000
        0.3204185000         2.0000000000         3.3423440552         1.6696418199         4.9913241162         8.6586442340         9.9192000000
        0.3254617000         2.0000000000         3.3423440552         1.6696418199         1.1048147461         8.6586442340         9.9192000000
        0.3304650000         2.0000000000         3.3423440552         1.6824034542        -0.0001481936         8.9910808552         9.9192000000
        0.3354624000         2.0000000000         3.3423440552         1.6696418199        -0.0052519485         8.6586442340         9.9192000000
        0.3403900000         2.0000000000         3.3423440552         1.6696418199         0.0024036839         8.6586442340         9.9192000000
        0.3454387000         2.0000000000         3.3423440552         1.6926127616         0.0075074388         9.2570301521         9.9192000000
        0.3504196000         2.0000000000         3.3423440552         1.6900604347         0.0228187035         9.1905428279         9.9192000000
        0.3554260000         2.0000000000         3.3423440552         1.6696418199         0.0585449879         8.6586442340         9.9192000000
        0.3604267000         2.0000000000         3.3423440552         1.6721941467         0.0942712724         8.7251315583         9.9192000000
        0.3654394000         2.0000000000         3.3423440552         1.6926127616         0.1299975568         9.2570301521         9.9192000000
        0.3704088000         2.0000000000         3.3423440552         1.6670894930         0.1631719638         8.5921569098         9.9192000000
        0.3754281000         2.0000000000         3.3423440552         1.6798511273         0.2065538806         8.9245935309         9.9192000000
        0.3804052000         2.0000000000         3.3423440552         1.6875081079         0.2422801650         9.1240555036         9.9192000000
        0.3854310000         2.0000000000         3.3423440552         1.6721941467         0.2652470621         8.7251315583         9.9192000000
        0.3904319000         2.0000000000         3.3423440552         1.6747464736         0.3111808564         8.7916188825         9.9192000000
        0.3953997000         2.0000000000         3.3423440552         1.6696418199         0.3341477535         8.6586442340         9.9192000000
        0.4004718000         2.0000000000         3.3423440552         1.6875081079         0.3775296703         9.1240555036         9.9192000000
        0.4054325000         2.0000000000         3.3423440552         1.6670894930         0.4107040773         8.5921569098         9.9192000000
        0.4104647000         2.0000000000         3.3423440552         1.6824034542         0.4515341166         8.9910808552         9.9192000000
        0.4154274000         2.0000000000         3.3423440552         1.6798511273         0.4796047687         8.9245935309         9.9192000000
        0.4204016000         2.0000000000         3.3423440552         1.6824034542         0.5178829306         8.9910808552         9.9192000000
        0.4253875000         2.0000000000         3.3423440552         1.6696418199         0.5485054601         8.6586442340         9.9192000000
        0.4304660000         2.0000000000         3.3423440552         1.6875081079         0.5893354994         9.1240555036         9.9192000000
        0.4354149000         2.0000000000         3.3423440552         1.6696418199         0.6174061515         8.6586442340         9.9192000000
        0.4404251000         2.0000000000         3.3423440552         1.6849557810         0.6556843134         9.0575681794         9.9192000000
        0.4454332000         2.0000000000         3.3423440552         1.6747464736         0.6888587203         8.7916188825         9.9192000000
        0.4505026000         2.0000000000         3.3423440552         1.6696418199         0.7194812498         8.6586442340         9.9192000000
        0.4555352000         2.0000000000         3.3423440552         1.6824034542         0.7501037793         8.9910808552         9.9192000000
        0.4604435000         2.0000000000         3.3423440552         1.6747464736         0.7832781863         8.7916188825         9.9192000000
        0.4654174000         2.0000000000         3.3423440552         1.6594325125         0.8113488384         8.3926949371         9.9192000000
        0.4704148000         2.0000000000         3.3423440552         1.6875081079         0.8598345101         9.1240555036         9.9192000000
        0.4754294000         2.0000000000         3.3423440552         1.6696418199         0.8776976523         8.6586442340         9.9192000000
        0.4813683000         2.0000000000         3.3423440552         1.6747464736         0.9210795691         8.7916188825         9.9192000000
        0.4894053000         2.0000000000         3.3423440552         1.6721941467         0.9517020986         8.7251315583         9.9192000000
        0.4923459000         2.0000000000         3.3423440552         1.6747464736         0.9950840154         8.7916188825         9.9192000000
        0.4983317000         2.0000000000         3.3423440552         1.6747464736         1.0154990351         8.7916188825         9.9192000000
        0.5010098000         2.0000000000         3.3423440552         1.6747464736         1.0588809519         8.7916188825         9.9192000000
        0.5054355000         2.0000000000         3.3423440552         1.6824034542         1.0971591138         8.9910808552         9.9192000000
        0.5104839000         2.0000000000         3.3423440552         1.6875081079         1.1328853982         9.1240555036         9.9192000000
        0.5154731000         2.0000000000         3.3423440552         1.6798511273         1.1584041728         8.9245935309         9.9192000000
        0.5204195000         2.0000000000         3.3423440552         1.6747464736         1.1915785797         8.7916188825         9.9192000000
        0.5255575000         2.0000000000         3.3423440552         1.6900604347         1.2247529867         9.1905428279         9.9192000000
        0.5304915000         2.0000000000         3.3423440552         1.6696418199         1.2553755162         8.6586442340         9.9192000000
        0.5355705000         2.0000000000         3.3423440552         1.6747464736         1.2834461683         8.7916188825         9.9192000000
        0.5404151000         2.0000000000         3.3423440552         1.6645371662         1.3166205752         8.5256695856         9.9192000000
        0.5454626000         2.0000000000         3.3423440552         1.6747464736         1.3497949822         8.7916188825         9.9192000000
        0.5504341000         2.0000000000         3.3423440552         1.6696418199         1.3880731441         8.6586442340         9.9192000000
        0.5555889000         2.0000000000         3.3423440552         1.6619848393         1.4186956736         8.4591822614         9.9192000000
        0.5605693000         2.0000000000         3.3423440552         1.6747464736         1.4544219580         8.7916188825         9.9192000000
        0.5655360000         2.0000000000         3.3423440552         1.6747464736         1.4875963650         8.7916188825         9.9192000000
        0.5706313000         2.0000000000         3.3423440552         1.6696418199         1.5207707720         8.6586442340         9.9192000000
        0.5756574000         2.0000000000         3.3423440552         1.6772988005         1.5564970564         8.8581062067         9.9192000000
